thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
183.00683092,20.76472273,-18.51202153,34.25552652,4.66704392,8.25084294,-0.0838544187511723,-2.779179873687588,17.062782081120886
182.71831749,21.12022906,-19.6350961,33.42439832,5.12406182,6.47679616000001,-0.0811014406345377,-2.7729751177174062,-7.950835190162486
182.39343704,21.52461666,-20.95293941,32.52298872,5.61752488,4.54336629,-0.0789135833166055,-2.7659172226431683,1.930805391596735
182.00480931,21.78568679,-22.41492334,31.51656282,6.14034178,2.40679362,-0.0773374394642021,-2.7613606892960587,39.641366594573846
181.69609674,22.29557329,-23.4889271,30.62407359,6.688956,0.837548010000006,-0.0763885766650801,-2.752461491059589,30.859234572360172
181.25977738,22.67827282,-24.7625265,29.60856889,7.29852151,-0.910217029999998,-0.0760310994251812,-2.745782124215254,51.938652816838626
180.90483497,23.24334031,-25.92853589,28.65281559,7.91891063,-2.68583083,-0.0761844132425758,-2.7359198360187733,27.460797520699742
180.49808551,23.86844541,-27.17154811,27.63297191,8.60127115,-4.51436388,-0.0767372256368028,-2.725009693852765,-5.986086635267895
179.8790471,24.34844611,-28.59486087,26.52516751,9.35277301,-6.37192846,-0.077559565814558,-2.716632101225888,55.774877786083366
179.46364895,25.02432025,-29.75185232,25.47600633,10.10409205,-8.13695237,-0.0785130264055893,-2.704835872153803,61.74342560768764
178.78312641,25.77311842,-31.09900295,24.23805074,11.05650689,-10.10979053,-0.0794593418400749,-2.691766878654394,20.963013510013617
178.34237785,26.53395886,-32.32425071,23.14886957,11.85495004,-11.85472595,-0.0802674001249839,-2.6784877078940723,18.16464159916542
177.56929111,27.31789995,-33.72244093,21.86890363,12.88196729,-13.81487712,-0.0808187585420007,-2.664805354731899,13.435197261335574
177.09774952,28.1476732,-35.0146904,20.74331906,13.73840905,-15.6022965,-0.0810117180281362,-2.650323079474425,15.644885323458091
176.24672237,28.93965949,-36.47317128,19.43681707,14.8192096,-17.58301663,-0.0807640190490034,-2.63650031108327,52.14365919077313
175.74087431,29.85102613,-37.84275955,18.28069543,15.73105799,-19.41974455,-0.0800142283252434,-2.620593962522432,27.694952638479542
174.95987337,30.86018019,-39.40253153,16.99766901,16.79873586,-21.42104659,-0.078721872651276,-2.602980901515564,-21.554954143137017
174.39079367,31.71305945,-40.7070836,15.78598981,17.77816928,-23.29830345,-0.0768663773674963,-2.588095350306591,-21.175207149819464
173.44999192,32.6572001,-42.31110831,14.43571473,18.9301861,-25.33737859,-0.074444900105311,-2.5716169873621717,-5.610999671041839
172.55299654,33.45376777,-43.88814302,13.10234661,20.03177395,-27.33436981,-0.0714692942457079,-2.5577142588057318,29.804767724814774
171.96668611,34.42207135,-45.31144151,11.8799684,21.02912262,-29.24192243,-0.0679628286819743,-2.5408141731758835,29.394063826555517
171.02224295,35.36524483,-46.85767514,10.53922758,22.17498665,-31.2589034,-0.063957518960196,-2.524352690532391,-13.527163895599159
170.38563155,36.35535818,-48.36329314,9.27831577999999,23.18439233,-33.19749298,-0.0594923700858957,-2.50707195260694,-9.561685077952298
169.31495721,37.19921695,-49.92837283,7.88084207999998,24.35186019,-35.23570102,-0.0546120934503209,-2.4923438386486105,-3.9576562519405556
168.66717741,38.23386059,-51.49828746,6.62369727000001,25.34491803,-37.1638169,-0.0493658660752278,-2.4742859005457913,-8.951209048180253
