thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
144.53066668,59.17591209,-66.74586021,-15.3704294,56.17089955,-51.32848113,0.340027059514116,-2.108778149748574,-26.504227936250402
143.90143901,59.64285728,-68.55296675,-15.85910161,56.20764793,-53.44999706,0.296626595545706,-2.1006284187567235,-39.492985682891835
143.27646035,60.03387345,-70.19957167,-16.30399877,56.16402822,-55.27754059,0.25717993047259,-2.0938038991616854,-46.52459609859605
142.66718323,60.35046952,-71.67214276,-16.70768321,56.03459559,-56.82744179,0.221610023062499,-2.0882782553413115,-39.11557917608999
142.09439403,60.62526851,-72.93203696,-17.07516721,55.82991973,-58.05638787,0.189810321147817,-2.0834821081846564,-41.61505298056589
141.54546832,60.833966,-74.00686359,-17.41879071,55.5402456,-59.02421883,0.16172885404067,-2.0798396498435086,-43.15205624238594
141.02852129,60.97822688,-74.89090287,-17.73978455,55.17139085,-59.74168661,0.137409543697165,-2.077321822505684,-45.32589524167463
140.54738788,61.07021941,-75.60187271,-18.06358121,54.7320476,-60.25180454,0.116924198459181,-2.075716249969944,-50.191342616141554
140.09180631,61.071487,-76.12807621,-18.36807749,54.20668361,-60.57710484,0.100238262694331,-2.075694126350879,-46.66698005896919
139.67260835,61.01889761,-76.49948067,-18.69402465,53.61903036,-60.75414978,0.0871435342768623,-2.076611984357994,-45.94458130025458
139.28692947,60.89736502,-76.71869959,-19.03524684,52.96730698,-60.80886161,0.0772902906719112,-2.078733128201971,-49.53478989410787
138.93016663,60.70433275,-76.80470946,-19.39578554,52.25397759,-60.76991775,0.0702445415221352,-2.0821021768760692,-50.620503371243686
138.60003084,60.4394296,-76.76212093,-19.78585397,51.48377184,-60.65658752,0.0655326563604952,-2.0867256090424737,-51.07413538778971
138.29262887,60.09973377,-76.60603476,-20.20553407,50.65957604,-60.49094528,0.0626748215400686,-2.092654419731269,-53.07303829081178
138.00481356,59.68886094,-76.34901741,-20.66107605,49.79126139,-60.28309504,0.0612089401977681,-2.0998255034217554,-61.7895337158636
137.72973909,59.19104868,-76.00740919,-21.14235615,48.86723755,-60.0630275,0.0607066204413088,-2.1085139664155497,-56.65674553321676
137.44588894,58.58426433,-75.54247171,-21.628753,47.9033886,-59.76062042,0.0607828336422264,-2.1191043511726235,-46.124402573073375
137.22608695,57.95774435,-75.07020415,-22.1410354,46.86025536,-59.52815371,0.0611006962053156,-2.130039187653152,-57.23970993799732
136.9860574,57.21539436,-74.51975251,-22.67342605,45.78849542,-59.2390057,0.0613726592581035,-2.142995639180799,-61.957237167704626
136.75854687,56.39648064,-73.90938937,-23.20264479,44.6660613,-58.93521714,0.0613592013572055,-2.1572883798845544,-57.24574005055327
136.53243454,55.49153557,-73.26626607,-23.72587204,43.49226197,-58.63382061,0.0608659249256912,-2.173082650905745,-55.26572510068828
136.32085019,54.507223,-72.5667899,-24.24322348,42.27475829,-58.26977675,0.0597397690076971,-2.190262146121012,-52.086218659765926
136.12088349,53.4510275,-71.86422755,-24.73716204,41.00244262,-57.93968201,0.0578648768744955,-2.2086962351407595,-49.97692368154727
135.93706011,52.31953331,-71.10162439,-25.21174314,39.68982718,-57.52592439,0.0551585018730901,-2.228444534223446,-48.06095009792344
135.77145517,51.12417275,-70.36314746,-25.64600295,38.32305909,-57.15104769,0.0515672011390027,-2.249307511743929,-41.96143451458134
135.61766323,49.85647466,-69.58335893,-26.04776717,36.91091572,-56.70989134,0.0470634552723023,-2.2714330173356725,-36.710534665469474
135.51583492,48.55689669,-68.77888844,-26.41445397,35.46860815,-56.23261838,0.0416427625965889,-2.2941149317985565,-32.88861092412443
