thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
182.27269156,14.74032263,-13.18468924,8.37158765000001,-50.02630022,38.83634523,-0.04354230831966,-2.8843254908900633,-17.362036234667144
182.39457118,15.28240085,-12.51637814,9.33575154000002,-50.31889981,42.38722402,-0.0282591564575998,-2.874864441147713,-22.64114409515461
182.43966345,15.7747405,-11.94675053,10.27953973,-50.53630542,45.61080897,-0.0110500692960348,-2.8662714932170963,-99.89175029364361
182.38753893,16.23683309,-11.4699755,11.16897137,-50.66425767,48.53201493,0.0082243380956102,-2.858206456072528,-43.277781035060414
181.76319434,16.2368208,-11.38598056,11.99897033,-50.73456525,50.79168533,0.0297197983809781,-2.8582066705734936,144.3010946052725
181.9043638,16.94330191,-10.92588938,12.75997216,-50.59988055,53.19468715,0.0535574362529871,-2.8458762491008494,68.65150860024815
181.87467957,17.52568547,-10.53067231,13.49621518,-50.41801207,55.29958869,0.0797909564100862,-2.8357117384693638,-123.66763940058867
181.74163668,18.0431149,-10.28634441,14.17549548,-50.13902038,57.0016402,0.108391874983217,-2.8266808912691457,-93.54074847304439
181.24476912,18.10598676,-10.01700704,14.86500721,-49.85785317,58.53695801,0.139231453572929,-2.8255835703052927,5.420552833714787
181.00626343,18.60697888,-9.9328056,15.42610037,-49.33126535,59.65931574,0.172055524325523,-2.8168396082847464,42.33646039228045
180.40577012,18.71734553,-10.01694717,15.98577892,-48.73338588,60.46162674,0.206483343702112,-2.81491334685785,92.80280057601952
180.39924658,19.41341291,-9.97330566,16.45345476,-48.02135465,61.05376477,0.242041859499892,-2.802764679261119,-87.58387864946648
180.24900474,19.86042518,-9.7315247,16.97540574,-47.30084497,61.71320408,0.278193857433478,-2.7949628433528058,-118.22663828935819
179.47806878,19.71802828,-9.82332044,17.46463955,-46.47585487,62.07065092,0.314345343085619,-2.7974481381024385,107.52872466972984
179.50984775,20.32611609,-9.82682886,17.90315836,-45.55731138,62.13011622,0.349873445743025,-2.786835003676697,63.74798861347397
179.70498222,20.63873786,-9.91627882,18.41990857,-44.75308164,61.84703381,0.384171893120798,-2.781378724476785,-73.37716208293709
179.43790979,21.15705607,-9.42623463,18.81944744,-43.59773736,62.24554378,0.41666821557648,-2.772332365139241,-97.10584352430106
179.06725055,21.13902727,-9.09271435,19.29314896,-42.57293285,62.35722114,0.446830104541771,-2.772647027059425,-68.79144909966772
179.17399027,21.43162055,-9.21663277,19.71230634,-41.49552523,61.76035507,0.474198427426139,-2.767540310954215,-30.84281276942047
178.52120514,21.24517071,-8.95089478,20.1012922,-40.24455108,61.74506536,0.498411955826332,-2.770794474552032,73.98874290613477
178.63628913,21.52946873,-9.04143003,20.48262117,-39.04615892,61.00769621,0.519193548838576,-2.7658325380461313,27.29892172324888
178.74134591,21.77523842,-9.02346236,20.85834699,-37.80055544,60.29371749,0.536346816363496,-2.7615430477540253,-50.98390710144507
178.72022369,21.78372821,-8.24646983,21.38603425,-36.51737349,60.37862913,0.549791269629976,-2.7613948729657225,-25.513559854197787
178.80324153,22.01318986,-8.29303049,21.68791603,-35.16921075,59.45345036,0.55957537999333,-2.757390011666163,-31.855585446458612
178.58972811,21.89180576,-7.94117196,22.05214836,-33.68586721,59.28862815,0.565832901429774,-2.7595085638707335,-0.4965322095618063
178.68035745,22.06862224,-7.92354641,22.31789223,-32.26917784,58.26072954,0.568734185504748,-2.756422534122947,-6.227985778921585
178.84045296,21.99703839,-7.42076195,22.71332327,-30.83041245,58.06944435,0.568466119233984,-2.7576719079967007,10.67254176829291
178.91891878,22.08837089,-7.28300538,22.91827797,-29.36680152,57.02782195,0.565217795610471,-2.756077855157623,23.013428060592034
179.21876628,22.16342018,-6.90968263,23.24071402,-27.82893033,56.76628035,0.559165125910511,-2.7547679979458386,5.793587290732205
179.27909959,22.23997677,-6.76419585,23.37077094,-26.29288789,55.61627624,0.550475760640744,-2.7534318333862395,6.771305029742436
179.6673368,22.36299678,-6.42808357,23.60105181,-24.67966903,55.4111871,0.539336299353534,-2.7512847291659033,-6.577477489657646
179.87493842,22.43037937,-6.16978632,23.7228331,-23.0509488,54.74739439,0.525978542109702,-2.750108681111882,13.65451882579638
180.11632778,22.52488721,-5.92405941,23.81303683,-21.41476272,54.11925556,0.510689456114252,-2.7484592081349337,24.71131402753013
180.38966041,22.6990166,-5.72521317,23.81533668,-19.70519902,53.40923601,0.493810424159405,-2.745420076954945,-29.41950549105954
180.64041668,22.82836304,-5.52044378,23.81206402,-18.01146167,52.79023063,0.475731606764151,-2.743162555701211,-22.289852949959332
180.86672969,22.79909248,-5.10275517,23.85427929,-16.40665218,52.29718841,0.456876934306986,-2.7436734233471136,45.72143921004468
181.16449506,23.00412742,-4.97049577,23.76192978,-14.67108098,51.72525847,0.437679030130831,-2.7400948885624845,33.65822782041672
181.48865211,23.16113291,-4.69609447,23.65651596,-12.95372091,51.19198168,0.418552987274392,-2.737354625818278,6.198301219018099
181.77238636,23.37273924,-4.53262722,23.48368004,-11.20223355,50.54016954,0.399878265144703,-2.733661398641716,32.79063512124036
182.0731666,23.55868699,-4.30665911,23.3044065,-9.47717383,49.94808462,0.381989356099918,-2.7304159981675404,13.641069318572896
182.55523371,23.92922756,-4.07563288,23.01143724,-7.69768138,49.24997054,0.365167644569211,-2.723948845208824,-47.481343706636814
182.68840937,24.03439864,-3.88324472,22.8184414,-5.98877141,48.62273863,0.349631406113088,-2.7221132635849457,-9.287034830873786
182.94551133,24.21366782,-3.69572595,22.5698636,-4.29966693,48.05086026,0.335533868791516,-2.718984426146595,39.98884419535109
183.23412058,24.4568995,-3.51370335,22.28457172,-2.6076339,47.40279115,0.322976016979872,-2.7147392324854382,41.88259275628603
183.53983811,24.72722728,-3.32051285,21.97910201,-0.932944499999998,46.74192117,0.312020571806501,-2.7100211226648314,3.364973853900999
184.08880388,25.11936994,-2.97160759,21.65477488,0.67242761,46.12910471,0.302694591759207,-2.7031769421103022,29.529248303763467
184.08176662,25.26006662,-2.86912609,21.29002061,2.28625132,44.9369598,0.294990050819451,-2.7007213217976775,61.88928626392087
