thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative
183.56203716,42.14014066,-16.04859312,11.11372237,-46.334072,53.07090484,1.45416173955836,-2.4061084518192573,-10.17809697251515
183.48427164,42.71942031,-16.22488186,11.79213721,-46.11561581,55.17190114,1.51694752567298,-2.3959981146369564,-11.449290079919017
183.44438523,43.26954186,-16.36203357,12.50586263,-45.82705059,57.07413117,1.56996042523796,-2.3863966823032814,-7.344732955498756
183.46549677,43.81238001,-16.45721118,13.23916147,-45.48017874,58.73908595,1.61321311529975,-2.3769223692803467,-13.263797202145433
183.54106563,44.35686084,-16.51400566,13.97135499,-45.06983163,60.16126489,1.64695580142166,-2.3674193860828554,-19.011248459430696
183.64483963,44.82934375,-16.51320273,14.7434,-44.6118265,61.37448075,1.67164782750795,-2.3591730036439515,-11.163045610604883
183.80065456,45.33525339,-16.49196963,15.49327967,-44.08529141,62.33349014,1.68791589276574,-2.3503432147083725,-23.424461826078158
183.9839441,45.78234795,-16.41304293,16.26287346,-43.50978476,63.10550432,1.69648935467942,-2.342539942568617,5.134503841297544
184.25069177,46.17943366,-16.5089396,16.9097761,-42.96297745,63.22668106,1.69813445490323,-2.3356094895164974,8.0273556605448
184.43507227,46.76477069,-16.4165628,17.61197079,-42.1857462,63.75866394,1.6936018212393,-2.3253934311091524,-73.23164874722288
184.70217873,47.06960729,-16.39690842,18.29038895,-41.5155131,63.77790939,1.68358544729284,-2.320073028758568,-52.28810263966821
184.90141888,47.32760699,-15.88408532,19.10736852,-40.70907686,64.26857833,1.66869713590525,-2.3155700845244103,-4.210976830232305
185.14654035,47.66019216,-15.96004732,19.72637919,-39.88142414,64.01598708,1.64946495172806,-2.309765378264605,-12.817694535987023
185.35994284,47.86631617,-15.60164477,20.47325179,-39.0095226,64.04357701,1.62634496278202,-2.3061678356226913,-21.251958003678517
185.58124059,48.17733705,-15.66049557,21.0310699,-38.04423633,63.61974686,1.59973162299208,-2.300739497224241,-43.4369969507431
185.81805823,48.2832606,-15.20906823,21.69188852,-37.12434677,63.5139788,1.56997907088155,-2.2988907825213403,-22.43476589242288
186.03381551,48.44560628,-15.06733463,22.24196328,-36.11038902,63.08893069,1.53743505241244,-2.2960573158789512,-5.195194175371398
186.24544506,48.57166329,-14.79899468,22.7751252,-35.06443611,62.7293181,1.50246050311646,-2.2938572060092315,-19.387626967297678
186.44102114,48.68410924,-14.63349227,23.27333245,-33.96639482,62.19196892,1.4654304345668,-2.2918946539511986,-21.75974235092859
186.64604245,48.74898306,-14.40010801,23.7421517,-32.85619463,61.77933241,1.4267318373909,-2.2907623921938525,-30.113334955257365
186.81525534,48.79793806,-14.19148921,24.18114696,-31.68400273,61.13886678,1.38675528840614,-2.289907966258539,-42.31086688411878
187.02837471,48.75376613,-13.90206212,24.62968131,-30.53122329,60.7835619,1.34587924135278,-2.290678911873999,-25.498626817119785
187.18659435,48.66934347,-13.68691672,25.03529725,-29.32861985,60.20584507,1.30446438821516,-2.292152365254291,-0.28007996638379495
187.33714028,48.61245283,-13.4688175,25.39872818,-28.0761951,59.61293852,1.26285907617782,-2.293145294235858,-11.020096163556481
