thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
159.47301274,64.95585453,-60.31075398,-12.25412782,45.93353601,-41.65978131,0.415776657762591,-2.00789912359482,-25.13143921309968,-24.018370082619835,24.434146740382428
158.63747819,65.70573714,-63.15201875,-13.08959881,46.16432477,-44.86621813,0.381091730242394,-1.9948112030468708,-37.17224057513402,-23.138346363739835,23.519438093982227
157.8211177,66.38362348,-65.7481489,-13.93378581,46.33061667,-47.81537436,0.350478001121715,-1.9829798544595767,-54.41581956814101,-22.27221028648109,22.622688287602806
157.03612525,66.99252111,-68.08239902,-14.78971218,46.43601642,-50.49008901,0.323275912246314,-1.972352586008487,-65.02653304767625,-21.419961850843606,21.74323776308992
156.26236238,67.49961275,-70.12846256,-15.64092651,46.46277045,-52.87744214,0.298839244855004,-1.963502167281149,-70.94679982619034,-20.581601056827378,20.88044030168238
155.51162755,67.90673049,-71.87428972,-16.48295801,46.40788439,-54.97046548,0.276691888296717,-1.9563966222748708,-74.01114246175622,-19.75712790443241,20.033819792729126
154.78415988,68.2091068,-73.36315558,-17.3307794,46.28114742,-56.78920807,0.256637593606625,-1.95111916008534,-79.5252501793664,-18.946542393658703,19.20317998726533
154.08096947,68.39688726,-74.5532356,-18.15857911,46.06244226,-58.31678042,0.238753014700294,-1.9478417727874304,-85.7257260786315,-18.14984452450625,18.388597539206543
153.39354985,68.46295473,-75.51469696,-18.97873902,45.76128603,-59.59713126,0.22321562178038,-1.946688677907468,-88.59226705941303,-17.36703429697506,17.59024991875544
152.7275312,68.3958718,-76.21747789,-19.78028008,45.36571453,-60.61489139,0.21008578686111,-1.9478594959078528,-85.87346994513467,-16.598111711065126,16.808197497926237
152.0880409,68.20920636,-76.70715065,-20.55728081,44.8772859,-61.40399509,0.199218447658117,-1.9511174224355363,-87.54654954741703,-15.84307676677645,16.042295214434567
151.47927951,67.9028376,-76.99699125,-21.30602763,44.29478276,-61.9767186,0.190302747914217,-1.9564645660227888,-89.37945418529213,-15.101929464109034,15.29223221202325
150.87740153,67.45385321,-77.12702554,-22.02939261,43.62163523,-62.36908599,0.182928658055712,-1.9643008219183469,-82.93057953623118,-14.374669803062877,14.55759846111859
150.3154651,66.89769685,-77.09468871,-22.71105832,42.85120291,-62.56002795,0.176640302059396,-1.974007581556254,-79.60206037442185,-13.661297783637979,13.837938085697374
149.7830644,66.22334284,-76.92795899,-23.35575278,41.99125502,-62.59583166,0.170976864689175,-1.9857772793547803,-76.84232656254952,-12.961813405834338,13.132790270523513
149.28236138,65.43646989,-76.64356377,-23.95769357,41.04176157,-62.48471592,0.165502356965964,-1.9995108031271616,-73.97331768620674,-12.276216669651955,12.44171902661792
148.82219279,64.55255837,-76.26101859,-24.52032509,40.01106006,-62.24219608,0.159825759025079,-2.014937969447469,-73.78577856741897,-11.604507575090832,11.76433333411591
148.38750786,63.55140704,-75.78797844,-25.02468368,38.88806138,-61.8843852,0.153613164432293,-2.0324113564666897,-68.83624472024508,-10.946686122150968,11.100299286583262
147.98928188,62.45901253,-75.2511604,-25.48920311,37.69162427,-61.42889613,0.146593545065442,-2.0514772373969,-63.04143395370332,-10.302752310832362,10.449345855897805
147.62926763,61.27194156,-74.6509857,-25.89661891,36.41338379,-60.88991197,0.138559666757396,-2.0721955342782423,-60.45038621403709,-9.672706141135015,9.811265807892411
147.31486845,60.00426588,-73.99698237,-26.25159491,35.06485527,-60.28129169,0.129365537404441,-2.0943206487417005,-57.99164839430215,-9.056547613058925,9.185913150463366
147.02770114,58.64612088,-73.32681882,-26.55879562,33.64678885,-59.63495409,0.118921583086826,-2.1180247507111987,-51.8407468271187,-8.454276726604094,8.57319830969092
146.78753614,57.21725156,-72.6240175,-26.81215854,32.16606334,-58.94482559,0.107188542698472,-2.142963224925932,-47.080420633487385,-7.865893481770524,7.9730820244689955
146.59687869,55.7232746,-71.8964632,-27.01183537,30.62748146,-58.22156211,0.0941708628535198,-2.169038041826867,-46.252405020421605,-7.291397878558211,7.38556874141173
146.44257103,54.1604863,-71.17005448,-27.16122597,29.03304851,-57.49457037,0.0799101740291677,-2.1963138431735114,-43.22223942228032,-6.730789916967158,6.810700090996326
146.32912409,52.53542156,-70.44338983,-27.25874245,27.38762859,-56.77039626,0.0644792442804922,-2.2246765734445773,-42.26182836813308,-6.184069596997361,6.248548841277853
146.25975311,50.85607585,-69.72237226,-27.30526541,25.69588871,-56.05759576,0.0479766437992841,-2.25398668536332,-37.44196026707503,-5.651236918648824,5.699213562448108
146.21050061,49.10542608,-69.02242794,-27.29422711,23.95366825,-55.36772106,0.0305222151194692,-2.284541287899101,-24.634887804908523,-5.132291881921546,5.162814097041015
146.2344982,47.33713877,-68.32546712,-27.24007368,22.18164664,-54.70186473,0.012253331206491,-2.3154037235798346,-19.77254711651444,-4.627234486815524,4.639487818022015
146.30608745,45.53428309,-67.64697076,-27.13931169,20.37722308,-54.0713825,-0.0066781699798777,-2.3468694911341155,-18.365879807258345,-4.1360647333307625,4.129386563350884
146.42950406,43.70491334,-66.98481175,-26.9920529,18.54367536,-53.47869006,-0.0261085768768881,-2.3787980165080014,-12.433975173289369,-3.6587826214672603,3.632674044590372
146.60567968,41.85791136,-66.34085804,-26.80193607,16.6868763,-52.92909472,-0.045864694861175,-2.411034282349856,-6.17605699768653,-3.195388151225014,3.149523456363839
146.83606583,40.00144648,-65.71132537,-26.57046297,14.8107174,-52.42013442,-0.0657663087380142,-2.443435706953497,-0.1495555182717822,-2.7458813226040313,2.680115013866017
147.12626266,38.14615343,-65.08761081,-26.29623433,12.91700737,-51.95065501,-0.0856289332842497,-2.475816679265365,6.979880602000499,-2.3102621356043045,2.224633202320055
147.47008051,36.29712273,-64.47510007,-25.98989233,11.01672465,-51.50688123,-0.105267015751666,-2.50808835295082,13.173954633560747,-1.8885305902258338,1.7832635744741678
147.8802051,34.47438727,-63.86069569,-25.6481847,9.10860367999999,-51.10890738,-0.124497703423093,-2.539901088120674,14.957981325736114,-1.4806866864686263,1.3561889830455334
148.34249934,32.66828018,-63.23853015,-25.26884843,7.19636288,-50.71466874,-0.143145216063343,-2.571423603484787,20.391629364824304,-1.0867304243326714,0.9435852082693285
148.85545356,30.88832403,-62.60640856,-24.85649597,5.28470386,-50.32828401,-0.161045777449302,-2.602489698843409,28.08785941436298,-0.7066618038179833,0.5456160263686812
149.43042786,29.15627306,-61.95585508,-24.4138579,3.37839017,-49.95114913,-0.178052931301817,-2.632719691082271,31.170020116277897,-0.3404808249245477,0.16242789362273066
150.04993605,27.46319237,-61.29013676,-23.94066062,1.47924975,-49.56305468,-0.194042689718287,-2.6622695236247083,35.71488192306571,0.011812512347628257,-0.20585520206591526
150.71782041,25.822857,-60.60186063,-23.4396881,-0.407799709999999,-49.16185208,-0.20891747853695,-2.690898776668128,41.01943668404662,0.350218207998541,-0.559135686535491
151.43199094,24.24269191,-59.89350423,-22.91089803,-2.28092915,-48.7426828,-0.22260809197136,-2.7184778602137007,43.39590840949814,0.6747362620282082,-0.8973443539995682
152.18272073,22.724465,-59.16727792,-22.35658108,-4.13523404,-48.29581871,-0.235073724716971,-2.74497591858558,47.314097531052646,0.9853666744366016,-1.2204403991535726
152.96417006,21.27083169,-58.42986237,-21.77789491,-5.96698468,-47.81471583,-0.246300423730765,-2.7703466059617434,51.652268721191774,1.282109445223746,-1.528409868954511
153.780512,19.89716281,-57.67274517,-21.17437249,-7.77593903,-47.31052968,-0.256298028339683,-2.7943216507499264,52.89719636868195,1.5649645743896272,-1.8212626027293102
154.61461062,18.59491717,-56.91368033,-20.54886696,-9.55531944,-46.76647518,-0.265095592708916,-2.817050124837667,54.53268681485213,1.8339320619342487,-2.0990276546431645
155.46585862,17.37293923,-56.15500978,-19.90376252,-11.30135331,-46.1850311,-0.27273540564721,-2.838377663277405,56.8245711581028,2.0890119078576213,-2.3617473135048312
156.32536562,16.23145193,-55.39805508,-19.23939595,-13.01081957,-45.56924834,-0.279265853773247,-2.858300375032105,57.935539549514026,2.3302041121597235,-2.6094699659329703
157.18899973,15.17429646,-54.6482502,-18.55928387,-14.67791814,-44.91656009,-0.284733866225509,-2.876751218689073,57.15350638090477,2.557508674840573,-2.8422425410660823
158.04849069,14.19993288,-53.91159326,-17.86467591,-16.29997845,-44.227743,-0.289178500724318,-2.893757071271592,54.71496202061665,2.770925595900163,-3.0601040966244812
158.8962029,13.30311916,-53.19270238,-17.15474534,-17.87677222,-43.5207374,-0.292626835945589,-2.909409423462651,53.37165190853366,2.9704548753380484,-3.2630817112836374
159.73060412,12.48190747,-52.4975574,-16.42866251,-19.40762372,-42.80398547,-0.295091700123605,-2.9237422713090173,52.46897111004678,3.384032530660128,-3.6791242307837333
