thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
136.26499928,-0.0612701900000019,-27.77764377,-27.44704224,-13.92755137,2.48141721,0.266598571271026,-3.142662020138616,2.55923562336946,0.4157655738477814,-0.14916700257675541
137.08004347,0.0492177200000015,-27.17983593,-26.0963426,-14.56216304,5.33551998999999,0.271419512859535,-3.140733642325468,-11.523908141448658,-1.848876288244831,2.120295801104366
137.91427982,0.167037299999997,-26.56288813,-24.70239536,-15.22761813,8.15859372,0.274712059671171,-3.138677302731151,-29.16594929333716,-4.683694125699984,4.958406185371155
138.78495591,0.204166409999999,-25.82897471,-23.21981217,-15.94131073,11.03768025,0.276572165566428,-3.1380292775133163,11.26362544475068,1.7812274641719654,-1.5046552986055375
139.68053595,0.228236209999999,-25.10528212,-21.68491759,-16.72140266,13.78650876,0.277060995757782,-3.13760918025302,15.566369941728553,2.4671964294020863,-2.190135433644304
140.53454794,0.42365092,-24.53715306,-20.21339051,-17.45341905,16.30045674,0.276200469765769,-3.1341985501566896,-30.74308640130141,-4.962370756224997,5.238571225990766
141.47380119,0.378623850000004,-23.67398474,-18.56206816,-18.31932901,18.96068722,0.273985052231298,-3.134984420780716,7.895459383648884,1.2244173752675709,-0.9504323230362729
142.38580624,0.466990520000003,-22.97716029,-16.94563378,-19.17985657,21.41302289,0.270400476277503,-3.133442131440193,28.22487299664722,4.468055139840625,-4.197654663563122
143.28818321,0.574249139999999,-22.29009627,-15.32321946,-20.05441193,23.76479871,0.265436854269751,-3.131570115370047,-6.332337269583377,-1.0721055012292229,1.3375423554989738
144.19911369,0.672046729999998,-21.61266874,-13.67427535,-20.97207693,26.02544695,0.259094399533574,-3.129863225424032,-21.50414760861974,-3.509631073550599,3.768725473084173
145.11419904,0.733592810000005,-20.8953608,-11.99220996,-21.92518794,28.22786325,0.251387356820188,-3.128789043686336,-21.783784261368844,-3.5606886511199,3.812076007940088
146.03087169,0.753893249999997,-20.14382704,-10.27982007,-22.90230119,30.37237353,0.242346188201165,-3.1284347341687324,-11.990757536395336,-1.995887539557563,2.238233727758728
146.93362267,0.768124589999999,-19.41126123,-8.56315315000001,-23.88832268,32.46242466,0.232016473949761,-3.1281863504287624,-7.841844614344673,-1.3335218395922648,1.5655383135420258
147.82275294,0.767037790000003,-18.68544417,-6.83523577000003,-24.88484521,34.51277145,0.220458024650199,-3.1282053186670726,-8.330631052686499,-1.4116161464942454,1.6320741711444444
148.6820717,0.757725910000005,-17.98138334,-5.12244171,-25.88659533,36.5034855,0.207746711841207,-3.128367841632623,-8.539941408574059,-1.4441502529969734,1.6518969648381805
149.52199301,0.73245133,-17.28331963,-3.40256573000002,-26.88876484,38.45515357,0.193982483380712,-3.128808966270681,-5.940975110085844,-1.0257220517055232,1.2197045350862352
150.33672975,0.698396970000001,-16.61296544,-1.68669957,-27.88668774,40.3765437,0.179299399877421,-3.129403326977341,-9.082922065508647,-1.524938996111226,1.7042383959886471
151.11650837,0.663825589999998,-15.99001605,0.0148187599999972,-28.86588489,42.26077549,0.163859755002551,-3.130006711385299,-13.058186944285843,-2.157433727134928,2.321293482137479
151.87226408,0.587026720000001,-15.32509521,1.70132416999999,-29.84572817,44.10463202,0.147831022653726,-3.13134710452861,-5.507758209803981,-0.9414840880753392,1.0893151107290653
152.5887319,0.520381949999997,-14.70677228,3.36356728999999,-30.79386364,45.87815411,0.131367170795514,-3.132510275194345,-3.98347490755846,-0.690759635959916,0.8221268067554299
