thigh,shank,foot,thigh_,shank_,foot_,knee_moment,shank_new,shank_new_second derivative,T_physics,knee_moment_minus_T_physics
176.0676131,75.59199291,-62.19776882,-8.69661706000002,54.14064715,-45.17516599,0.371199344179073,-1.822263489166084,181.13525443230748,23.28657613341055,-22.915376789231477
174.33554073,75.93814009,-65.25822615,-9.76311338000002,54.68367682,-49.00081713,0.315772174615482,-1.8162220811785896,103.0637954520075,10.786407542654784,-10.470635368039302
173.54951266,76.80320155,-68.17059858,-10.80707709,54.99851493,-53.10074023,0.264972690681928,-1.8011239104694807,-41.20682744984894,-12.317811358945367,12.582784049627294
172.02036854,77.2209465,-71.02935092,-11.8649559,55.42546914,-56.69707749,0.218557800472552,-1.7938328856584016,-30.20077246012498,-10.566477663730488,10.785035464203041
170.84698721,77.77831246,-73.69031542,-12.8798187,55.71196352,-60.16346837,0.176246236460815,-1.7841050145178627,45.75444513153837,1.5739765181771643,-1.3977302817163493
169.71975262,78.33071523,-76.16552433,-13.8945232,55.95488575,-63.38729964,0.137821876715958,-1.7744637673842258,-16.048236149572848,-8.326186301316067,8.464008178032024
168.89349589,79.01557703,-78.41519982,-14.85415377,56.10775955,-66.54332286,0.103213207715058,-1.762510674053091,-52.21236582210853,-14.12625118383044,14.229464391545498
167.56158836,79.34853434,-80.54563181,-15.84407723,56.25324806,-69.0062133,0.0725502797200186,-1.7566994727250074,-36.08141677395648,-11.55171263280348,11.624262912523498
166.78735178,79.95368678,-82.41617987,-16.71519842,56.25947586,-71.55628118,0.0461299879773312,-1.74613757017053,-38.93659042531805,-12.019696829791561,12.065826817768892
165.48666611,80.15962216,-84.18253284,-17.66166553,56.27012941,-73.48764385,0.0242452835278098,-1.7425433197431843,2.10698416229338,-5.456374225878729,5.480619509406539
164.76355206,80.6687063,-85.68480426,-18.44738695,56.13271952,-75.43629911,0.0069913876311474,-1.7336581253305008,-25.12668493620751,-9.822461341714359,9.829452729345507
163.83335411,80.98278211,-87.06767507,-19.27571965,55.95316425,-77.07090227,-0.0057988386440577,-1.7281764683451324,-68.77246340806664,-16.810924907291277,16.80512606864722
162.94682753,81.23976052,-88.2695696,-20.04243689,55.6983779,-78.36663725,-0.0145006366050507,-1.7236913489840924,-50.275207432035614,-13.855438922004689,13.840938285399638
162.06397001,81.41190487,-89.31845907,-20.78783718,55.37252955,-79.42917437,-0.0196197731996949,-1.720686863287887,-42.54442858995455,-12.621178662993916,12.601558889794221
161.2200465,81.52275902,-90.22269958,-21.49526287,54.97664773,-80.26323045,-0.021729246481228,-1.7187520933808875,-36.69966126422119,-11.687703851484516,11.665974605003287
160.44060669,81.59726601,-90.99362629,-22.16561928,54.51003134,-80.91300687,-0.021419560777244,-1.7174517010896369,-36.28425370362898,-11.622360916285427,11.600941355508184
159.68314882,81.59548395,-91.64194786,-22.81640355,53.98902802,-81.40277432,-0.0192614357385213,-1.7174828039041048,-32.0306960756378,-10.941764968031379,10.922503532292858
159.01548528,81.57473369,-92.1694953,-23.42259648,53.39179101,-81.73874667,-0.0157795434645162,-1.7178449642617497,-40.36484920275862,-12.274917836628783,12.259138293164266
158.37417634,81.48468651,-92.58993637,-24.01847446,52.75614031,-81.97867069,-0.0114357241300949,-1.7194165840348858,-24.79512473821055,-9.782400736737902,9.770965012607807
157.74823348,81.32092782,-92.92881896,-24.61118178,52.08438563,-82.13625031,-0.0066200882229297,-1.7222747123541384,-25.842269929532424,-9.947431722082348,9.940811633859418
157.39499643,81.23182347,-93.13485736,-25.07661834,51.37603363,-81.93212592,-0.0016484496578513,-1.723829876639488,-72.1536042468207,-17.35585830175705,17.3542098520992
156.75240147,80.91905665,-93.26676349,-25.72363611,50.62983741,-82.24376998,0.0032353722257344,-1.7292886874394804,-58.17522561567978,-15.114338270089458,15.117573642315193
156.23397744,80.56555073,-93.37330954,-26.28608497,49.85410014,-82.22643456,0.0078537104334691,-1.735458529668772,-15.12268804724215,-8.220095931787442,8.227949642220912
155.78930547,80.18386599,-93.38046895,-26.83243092,49.06664074,-82.20825431,0.0120868387066811,-1.7421201850863903,-31.0342055752022,-10.759389279557464,10.771476118264145
155.48650299,79.81263137,-93.27517852,-27.28616959,48.25423471,-81.90567076,0.0158633916890998,-1.7485994515027805,-60.54536877725835,-15.474558593339522,15.490421985028622
155.04240198,79.27086243,-93.14576168,-27.91717636,47.44811554,-82.09614076,0.0191502464821325,-1.7580551032908205,-41.78158182581271,-12.462260398441948,12.48141064492408
154.69795997,78.7128126,-92.98517061,-28.46431174,46.60536417,-82.05819678,0.0219425294634192,-1.7677949102145147,-22.49109813936334,-9.364847399512037,9.386789928975457
154.40008147,78.11846804,-92.74881588,-28.98727724,45.75358802,-81.99045719,0.0242542576972816,-1.778168179677832,-34.0679072104133,-11.204888503746485,11.229142761443766
154.17760449,77.48412933,-92.32072859,-29.36408155,44.88486869,-81.52531123,0.0261099844155837,-1.7892394787401853,-38.70731699345375,-11.933438498203646,11.95954848261923
153.89139158,76.77087892,-92.0123129,-30.02645683,44.01970342,-81.75263324,0.0275376947914066,-1.801688046785885,-38.071593030724046,-11.815415653846976,11.842953348638384
153.68559356,76.03366947,-91.47460919,-30.38024037,43.08714815,-81.20294829,0.0285630920232598,-1.8145547789652008,-52.84227609310354,-14.160937983015788,14.189501075039049
153.50065432,75.20515564,-91.1191817,-31.00998125,42.18449714,-81.40587967,0.029205324174305,-1.8290150731970096,-40.96137481581774,-12.238876628709797,12.268081952884101
153.27106027,74.28044567,-90.45091178,-31.44910486,41.29593381,-81.06981156,0.0294741287233505,-1.8451543067995275,-27.254227331767744,-10.020760479515072,10.050234608238423
153.20691581,73.40474097,-89.9560377,-31.89180489,40.27708194,-80.91329927,0.0293683138510294,-1.8604382370897168,-38.06972378309625,-11.726231523750005,11.755599837601034
153.00321564,72.37106665,-89.16954215,-32.28798913,39.32178164,-80.49455103,0.0288754520984235,-1.8784792573670304,-34.29535153721241,-11.091118832443986,11.11999428454241
152.96782274,71.38620285,-88.57471736,-32.65895347,38.25390488,-80.19151167,0.0279726314504597,-1.8956683733607331,-46.76158912172878,-13.054280722316495,13.082253353766955
152.81361958,70.26518974,-87.6873642,-32.99339839,37.23014775,-79.67848617,0.0266280890267661,-1.915233743088255,-42.03886255618405,-12.260859546544182,12.28748763557095
152.71713778,69.09974056,-86.873461,-33.31780833,36.15725311,-79.22967789,0.0248035413268839,-1.9355746685439228,-3.817933918677241,-6.103982237746444,6.128785779073328
152.6732995,67.91844789,-86.04291896,-33.58230181,35.03401842,-78.71411394,0.0224570204425681,-1.9561921150650976,-15.007485844638069,-7.849898078071362,7.87235509851393
152.8001653,66.79140312,-85.32373967,-33.73280505,33.79108565,-78.1417722,0.0195460265395831,-1.97586275711898,-56.92295885868948,-14.51184159301218,14.531387619551763
