knee_moment,thigh,shank,foot,thigh_,shank_,foot_
2.275397537618,181.66937976,223.76012688,-277.10200098,21.64690499,81.76352004,-299.21344632
1.87051566693499,181.36025513,224.1519563,-277.16179542,21.02928307,81.69303057,-299.34910868
1.4558745725676,181.05149622,224.54626931,-277.31078106,20.3982841,81.60053682,-299.56246133
1.0366721634534,180.74051984,224.94204104,-277.56874727,19.75241407,81.48694957,-299.86804438
0.618324232622275,180.42716201,225.33940037,-277.95293927,19.09595747,81.36446696,-300.29735182
0.206341096289225,180.11294461,225.72546756,-278.41380956,18.42446452,81.19689558,-300.77056696
-0.193799495714126,179.79839959,226.10355208,-278.97485034,17.74124312,81.00135601,-301.32778815
-0.576778891359192,179.48426538,226.46972788,-279.64361908,17.04340161,80.76464985,-301.96688903
-0.937559370051098,179.17013126,226.82273039,-280.41458428,16.33927919,80.50962255,-302.70828291
-1.27149742253405,178.85487929,227.1569284,-281.25613813,15.63141266,80.23373136,-303.51332928
-1.5744450145961,178.53970707,227.46793875,-282.17922147,14.91817763,79.92651081,-304.40128598
-1.84283585432806,178.22172589,227.75267412,-283.13900979,14.20089982,79.59304684,-305.31241682
-2.07375423758354,177.90229451,228.01049836,-284.14584014,13.48143277,79.23696901,-306.27406744
-2.26498466275844,177.57835075,228.23510823,-285.16454671,12.75429943,78.84118831,-307.2224307
-2.41504107628785,177.25399066,228.42760503,-286.21247343,12.03813842,78.44782032,-308.25439248
-2.52317532429931,176.92319435,228.58386531,-287.24931547,11.31528583,78.01772676,-309.25392177
-2.58936512623205,176.58629812,228.70257108,-288.27973952,10.59421896,77.57006884,-310.2612336
-2.61428262795928,176.24236475,228.78228947,-289.29123953,9.87385318,77.10285644,-311.2601282
-2.59924530430394,175.89127223,228.82332972,-290.26855303,9.15327762999999,76.61589499,-312.23755604
-2.5461516270231,175.53116961,228.82338709,-291.2179679,8.43577809999999,76.11563065,-313.20622674
-2.45740445272373,175.16447014,228.7856888,-292.12278283,7.71439003,75.58648798,-314.12382536
-2.33582547604194,174.78970911,228.70866785,-292.98496605,7.00055718999999,75.05718429,-315.03981361
-2.18456430751661,174.40449155,228.58869922,-293.79422595,6.29115739,74.52185621,-315.94468841
-2.00700575936481,174.01669677,228.43650956,-294.55259265,5.57799384,73.95471347,-316.77585701
-1.80667875912521,173.61860119,228.24170316,-295.25070789,4.87142181999999,73.38536167,-317.60095313
-1.58716997887951,173.21956545,228.01729956,-295.89998863,4.16529772999999,72.79713128,-318.36960766
-1.35204479544314,172.81213625,227.75086724,-296.48147622,3.46309366,72.19371406,-319.10823669
-1.10477762163516,172.40525279,227.45731638,-297.01443046,2.76292111999999,71.57708111,-319.80108701
-0.848693013918393,171.99595286,227.12993121,-297.48782052,2.06665830999998,70.94419689,-320.45961513
-0.58691831436025,171.58371166,226.76823265,-297.89962106,1.37228936,70.29115494,-321.0654497
-0.322347971243943,171.17290158,226.37780583,-298.2550422,0.681279189999998,69.61962403,-321.62927711
-0.0576191420132513,170.76300431,225.95752622,-298.55786096,-0.006736520000004,68.92683965,-322.14813323
0.204902259606117,170.35734658,225.51060388,-298.80727579,-0.690603420000002,68.21377209,-322.62383883
0.463126242470941,169.9564734,225.03755737,-299.00235963,-1.36978518000001,67.48027826,-323.05329442
0.715235533103156,169.56069565,224.53969852,-299.15428606,-2.04559682999999,66.72342193,-323.44285132
0.959675986545821,169.17223422,224.01826177,-299.24263956,-2.71366408,65.94858414,-323.78487951
1.19514211781662,168.79099822,223.47353101,-299.30170229,-3.37882998000001,65.14778749,-324.09005363
1.42055917710069,168.41129501,222.90196499,-299.30881894,-4.03606640000001,64.3320681,-324.34410183
1.63506304808891,168.05103422,222.32197667,-299.29366278,-4.69218981,63.48677654,-324.58831007
1.83797906685479,167.68622326,221.7083178,-299.23318189,-5.33828730000002,62.63175812,-324.78128295
2.02880065546941,167.3806417,221.11779261,-299.13326228,-5.97402005999999,61.74486139,-324.94349922
2.20716845217299,167.04501531,220.47734494,-298.99414798,-6.60184131,60.86044294,-325.08137773
2.37285041020811,166.69852009,219.80684511,-298.83179203,-7.23034668000003,59.95518134,-325.19385701
2.52572314578624,166.40377069,219.15075169,-298.62404067,-7.84296769000002,59.02701591,-325.25158187
2.66575465947636,166.09586521,218.46585517,-298.39518249,-8.45306722999999,58.09202921,-325.30104017
2.79298844661643,165.79438162,217.76304294,-298.1365196,-9.05412979000002,57.14519163,-325.32122559
2.90752895250092,165.50181175,217.04880732,-297.85164516,-9.64923429000001,56.18572716,-325.31698575
3.00952831076628,165.20098914,216.3105417,-297.54268967,-10.23924739,55.22344811,-325.30239491
3.09917432109038,164.94097888,215.5831342,-297.19951124,-10.8159128,54.23828281,-325.23245728
3.17667966824859,164.67137554,214.83294227,-296.83511317,-11.38740778,53.25419529,-325.15908353
3.24227245074194,164.40998544,214.07242471,-296.44453276,-11.95058278,52.26312062,-325.06250777
3.2961881644259,164.14494678,213.29679402,-296.03433213,-12.50685939,51.27834582,-324.9710753
3.33866336669247,163.91730666,212.53013962,-295.58343058,-13.05298801,50.26698239,-324.81381465
3.36993132258743,163.67796908,211.73885939,-295.11760832,-13.59085821,49.25429537,-324.64300763
3.39021999518647,163.45162479,210.94657822,-294.62443637,-14.12314284,48.23652889,-324.45804464
3.39975277230023,163.23787176,210.14731482,-294.09840068,-14.64997392,47.19936962,-324.22315452
3.39875230425431,163.02849188,209.33859771,-293.54981863,-15.16816513,46.16318113,-323.97928215
3.38744775691009,162.83328565,208.53031299,-292.97218782,-15.68339737,45.11362806,-323.70774597
3.3660856643916,162.6421897,207.7068416,-292.36534691,-16.1899943,44.05306338,-323.39262478
3.33494440501438,162.4592501,206.8777813,-291.73438363,-16.69271976,42.9809154,-323.05519735
3.29435213112852,162.28878314,206.04688884,-291.07430264,-17.19276751,41.89357249,-322.6823762
3.24470777350383,162.12472498,205.20807386,-290.38978615,-17.68875337,40.79350004,-322.28190212
3.18650453300817,161.96983504,204.36434786,-289.67778361,-18.18296691,39.67629426,-321.84468795
3.120355085761,161.82535858,203.51745056,-288.93738616,-18.67408634,38.54645384,-321.37715114
3.04701757704407,161.68736812,202.66524231,-288.17564114,-19.16522845,37.397883,-320.88131
2.96742137327634,161.55873891,201.81036849,-287.38683,-19.65461828,36.23555306,-320.35556355
2.882691484699,161.43735845,200.9516283,-286.57368911,-20.14280575,35.0591157,-319.80268615
2.79417056225745,161.32802191,200.09440883,-285.73201068,-20.62980575,33.86779709,-319.21746982
2.70343740257506,161.22018097,199.23213365,-284.87007523,-21.11793296,32.66815854,-318.61996125
