thigh,shank,foot,thigh_,shank_,foot_,knee_moment
176.99233592,31.04809676,-30.0897114,33.3374311,5.77523674,6.69458953,-0.202031131572209
176.25783169,31.94823143,-32.61455756,32.01130561,6.64468654999999,3.55913349000001,-0.201265338586799
175.45427749,32.87059189,-35.1229126,30.61650808,7.57188915,0.423189460000003,-0.199629370133489
174.56606629,33.80735736,-37.6062924,29.14764713,8.55981669000001,-2.69823962,-0.197098011271113
173.69744553,34.8069519,-39.9791449,27.65937528,9.56764043,-5.72030058,-0.193662028657866
172.75520888,35.81342465,-42.29712005,26.11485651,10.63453794,-8.71286202,-0.189379818594114
171.79390272,36.89275611,-44.54516869,24.5361247,11.73260472,-11.61029898,-0.18437201751087
170.69619578,37.92203619,-46.69902771,22.88867674,12.90557379,-14.41546369,-0.178734229380628
169.91886026,39.21795371,-48.76672056,21.3516977,14.03790138,-16.97102006,-0.172476414049768
168.57219794,40.22470799,-50.70548958,19.57099197,15.35108571,-19.74343492,-0.165531117020429
167.44743049,41.41427788,-52.63104973,17.88168719,16.61963686,-22.2363453,-0.157783559885114
166.24531214,42.57639611,-54.48170223,16.15260174,17.93628072,-24.69090542,-0.149097985573128
165.09110303,43.82466895,-56.26488603,14.43589927,19.27064563,-27.06734775,-0.13934008394137
163.86404968,45.04343662,-58.0148412,12.68993942,20.62894759,-29.39185319,-0.128395292805598
162.85920503,46.49565173,-59.95849786,11.01297464,21.95854728,-31.74277182,-0.11618250168358
161.16941181,47.32710938,-61.66264325,9.10950831999997,23.35838108,-34.07926294,-0.102662798585035
160.05744645,48.66600764,-63.18988238,7.41521445999999,24.73557144,-36.20158788,-0.0878437450557724
158.76296349,49.85415643,-64.82867912,5.64331393000001,26.10233702,-38.39077554,-0.071780275286459
157.4502377,51.00005378,-66.52157258,3.86698967000001,27.45190078,-40.6168486,-0.0545730897570934
156.10634785,52.08421999,-68.20841149,2.08723014999998,28.76513628,-42.82129534,-0.0363650302653941
154.73246614,53.10179844,-69.91627187,0.305526829999991,30.04438549,-45.03146881,-0.0173358304425103
153.5443145,54.21894408,-71.6093118,-1.43407970000001,31.24256032,-47.18568121,0.0023043388872469
152.09741907,55.05169058,-73.19769613,-3.22834073000001,32.44915633,-49.33915173,0.0223220870513084
150.64855067,55.81266796,-74.92196098,-5.00772424000002,33.56912864,-51.52731491,0.0424683521307089
149.30778596,56.57320219,-76.53211428,-6.76139076000001,34.60577599,-53.61996688,0.0624859367980102
147.95787225,57.24813831,-78.12981791,-8.51500541999999,35.57268089,-55.69079188,0.0821167779604008
146.87962364,57.99252188,-79.55778327,-10.23655008,36.47895348,-57.76079698,0.101108700099867
145.41310272,58.42521371,-81.00552018,-11.97241106,37.27297281,-59.58497926,0.119221388094758
144.35191427,58.98301816,-82.34509192,-13.67169668,38.00356088,-61.5666816,0.136231361141674
142.91873154,59.21499284,-83.6262408,-15.38935247,38.60765198,-63.21438159,0.151935807764856
141.90361969,59.60277087,-84.81840825,-17.04990971,39.14597379,-65.05502852,0.166155222312437
140.80194134,59.8286346,-85.85674949,-18.71030818,39.58293328,-66.67048524,0.178734860330439
139.66556716,59.92227986,-86.82008854,-20.35896004,39.9136742,-68.17196885,0.189545098933215
138.51010747,59.89222266,-87.70940842,-22.00348327,40.12790252,-69.56868718,0.198480844546401
137.0601006,59.53116141,-88.61278671,-23.66570438,40.16731916,-70.66137572,0.205460171352108
136.09186252,59.40770574,-89.29917968,-25.23342889,40.20633348,-72.01632668,0.210422398673268
134.84520023,58.94644799,-89.89258927,-26.8462721,40.07932227,-72.91940724,0.213325824536272
133.91078494,58.62019262,-90.33202605,-28.37288624,39.9028946,-74.01520421,0.214145326650441
132.82760069,58.04495803,-90.63955378,-29.91436581,39.5760905,-74.67827368,0.212870024204663
131.90894962,57.50104363,-90.84437894,-31.3879331,39.21029826,-75.5213107,0.209501168229448
130.90318076,56.74321896,-90.8981015,-32.87104362,38.69268039,-75.95640048,0.204050397583994
130.02949306,56.01010451,-90.87062408,-34.27710626,38.13132261,-76.55433256,0.19653846379002
129.15113044,55.1379201,-90.68316066,-35.67464762,37.47249222,-76.92286233,0.186994492524558
128.28294546,54.1566644,-90.37944386,-37.03893997,36.74373863,-77.14422954,0.1754558138233
127.44922308,53.10104996,-89.98377695,-38.35396835,35.91289386,-77.24716839,0.161968357769644
126.63804672,51.94847426,-89.47477877,-39.63477611,35.02319082,-77.2458474,0.146587578237482
125.86426345,50.71264517,-88.8585294,-40.86062261,34.05505749,-77.11617781,0.129379834746553
125.09509331,49.34804191,-88.17793233,-41.99987867,32.98110109,-76.60632882,0.110424132534541
124.39703117,48.03929451,-87.42839592,-43.15000179,31.92485506,-76.53451831,0.0898140946628321
123.74814422,46.63877938,-86.53901835,-44.23207731,30.80396348,-76.19675745,0.0676600187648289
123.17947782,45.15984501,-85.51320957,-45.20278528,29.59281207,-75.40135733,0.0440908565272782
122.61711901,43.71276399,-84.51592805,-46.16558161,28.40522637,-75.04931832,0.0192559475392366
122.14999504,42.16604126,-83.32802818,-47.04443487,27.13164186,-74.14158132,-0.0066736584800926
121.67989655,40.6538433,-82.18496027,-47.8990928,25.88819724,-73.62934709,-0.0335044456918663
121.3703246,39.11111069,-80.85811779,-48.61935982,24.57180464,-72.54540564,-0.061020376652498
121.07311925,37.58321562,-79.53416365,-49.31946013,23.28019511,-71.69785154,-0.0889836422181721
120.84052989,36.06198515,-78.16798615,-49.9538529,21.9782707,-70.76364701,-0.117136284198461
120.68578732,34.56960024,-76.76270641,-50.51881315,20.6811164,-69.77492102,-0.145202714394515
120.47363683,33.04925095,-75.39914215,-51.08123268,19.41615838,-69.01504932,-0.172893105264083
120.56438555,31.65743078,-73.89110639,-51.46425478,18.10830119,-67.68110775,-0.199907575729963
120.46716817,30.18913642,-72.48321141,-51.91970023,16.88460284,-66.89257358,-0.225941042820598
120.71695434,28.92537113,-70.98461853,-52.17551053,15.64078403,-65.57130083,-0.250688558761061
