thigh,shank,foot,thigh_,shank_,foot_,knee_moment
152.84449849,25.45087724,-32.87402263,-31.64857833,-8.06798903000001,-16.33140345,0.720349128631849
153.35730258,25.5147088,-32.44882907,-30.67440664,-8.74454723000001,-13.73656055,0.742883439639457
153.8727697,25.55595738,-32.04434757,-29.65725426,-9.43087200999999,-11.09643058,0.762171124406963
154.41107654,25.61871984,-31.59339289,-28.60422978,-10.11259734,-8.37697077,0.778270411869309
154.93118611,25.64755156,-31.1656777,-27.51567937,-10.78766988,-5.65733161,0.791302928646282
155.4622227,25.68582602,-30.71235968,-26.39833105,-11.45653123,-2.91992967,0.80141295323971
155.99256614,25.71882796,-30.24899065,-25.2543952,-12.11991944,-0.199845589999999,0.80878486994844
156.52112089,25.74663201,-29.77639571,-24.08735093,-12.77902954,2.48071658,0.813658936809723
157.07545683,25.78800012,-29.28349752,-22.89070369,-13.45925135,5.10630644,0.816304580884087
157.57955576,25.78788566,-28.78043037,-21.68726838,-14.10210834,7.66664087999999,0.816950834132257
158.09170933,25.79767543,-28.30112222,-20.47490916,-14.75707349,10.1160135,0.815738865092801
158.61706397,25.80800554,-27.77620998,-19.23731674,-15.42838297,12.5007026,0.812756648724503
159.13152343,25.81175606,-27.26908594,-17.99870508,-16.10425338,14.77446883,0.808098162994728
159.65145249,25.81564538,-26.73966079,-16.7466887,-16.79320224,16.96823431,0.8018608606442
160.17273421,25.81876811,-26.20412463,-15.48698815,-17.49376887,19.07678858,0.7940944958777
160.69530264,25.82100831,-25.66879309,-14.22133143,-18.20566121,21.10690355,0.78479386415626
161.21874219,25.82136374,-25.12938803,-12.95082979,-18.92829346,23.08254875,0.773964726256473
161.74371623,25.82104371,-24.58735738,-11.67651496,-19.66111407,25.00931115,0.761678122943723
162.2822581,25.82777555,-24.06295811,-10.39453739,-20.40229881,26.86193384,0.748057891081919
162.79484882,25.8165843,-23.51728372,-9.12478514,-21.14614572,28.74420715,0.73324144278379
163.31963634,25.80982934,-22.99009525,-7.84899227000002,-21.89445564,30.57636749,0.717358534082179
163.83925009,25.7959919,-22.47029414,-6.57591911,-22.64255916,32.39385508,0.700533740946902
164.37172329,25.7772937,-21.95588006,-5.29470028,-23.39438915,34.18944151,0.68290173628957
164.8713091,25.7521359,-21.45004161,-4.03310264000001,-24.13104897,36.00096923,0.66461662592634
165.38163304,25.71824617,-20.94780687,-2.76456053000001,-24.8670972,37.78787895,0.645840857682937
165.87899376,25.67109749,-20.46033983,-1.50278864999999,-25.59251205,39.55028242,0.626726974919956
166.37532281,25.62179969,-19.97495437,-0.243003130000005,-26.30568264,41.29668843,0.607417960787942
166.86329024,25.56043759,-19.49079065,1.01376758999999,-27.00399937,43.01531146,0.588064374096737
167.35036178,25.49991644,-19.02945039,2.26653344000002,-27.68671823,44.67387162,0.568832844131815
167.81973452,25.42573144,-18.56872767,3.50816054000001,-28.34621283,46.29515747,0.549890079080347
168.27780818,25.34677106,-18.11384468,4.73893045,-28.98105971,47.8634486,0.531374655249677
168.74058347,25.27490932,-17.65586752,5.95772903,-29.60057979,49.36553771,0.513387995907113
169.18490598,25.19400828,-17.22542915,7.17061355999999,-30.17694638,50.79776814,0.496010606023935
169.61689184,25.11301702,-16.80192861,8.36688357,-30.72021889,52.15604346,0.479312605040093
170.03940009,25.03232401,-16.38832813,9.55204677,-31.22889038,53.43803521,0.463342983253864
170.45370957,24.95505859,-15.98402852,10.7254164,-31.70110788,54.63928911,0.448114549902793
