thigh,shank,foot,thigh_,shank_,foot_,knee_moment
125.93917937,3.58274112,-35.85642961,-39.92848942,-0.285998699999997,-9.19926035000001,0.451627898358535
126.90272341,3.52409177,-34.83260591,-39.05927423,-0.457198830000003,-6.56261781,0.468605558325583
127.76688237,3.56040145,-34.0585995,-38.06749682,-0.820677539999998,-4.2551761,0.484452458235943
128.77243627,3.52044557,-33.04757229,-37.06419898,-1.13945133,-1.67095621,0.499444352316789
129.7354027,3.54373992,-32.18974615,-35.97785605,-1.59005982,0.653626870000004,0.513704926144241
130.61442866,3.59050388,-31.46562976,-34.84292814,-2.10953384,2.75979841,0.527198307045185
131.63577829,3.55684169,-30.50337831,-33.6106126,-2.72856122,5.12210658,0.539769539879265
132.53581225,3.63093606,-29.83242199,-32.36461237,-3.38839734000001,7.13268452,0.551204749010006
133.55229096,3.55033811,-28.91091416,-30.98385277,-4.24059929,9.22471062,0.56129085943603
134.46518427,3.54054822000001,-28.14407952,-29.57109151,-5.10754059,11.19974467,0.569858814629992
135.3762547,3.49760491999999,-27.40172189,-28.09255794,-6.07337314,13.13304469,0.576792907278555
136.25349224,3.43473593,-26.67058592,-26.57129993,-7.10266993,15.03207585,0.582005673436183
137.12766852,3.36880057,-25.93424909,-24.99373026,-8.21585651,16.97782715,0.585405277895904
137.9770798,3.26781028,-25.22165793,-23.36545513,-9.4052402,18.90601436,0.586887234987722
138.81376605,3.16557601,-24.51886249,-21.69952974,-10.65118858,20.87890833,0.586352571145091
139.61407112,2.99711677,-23.84247256,-19.98215013,-11.95298086,22.88138575,0.583734099878372
140.42084274,2.85825797,-23.15286028,-18.24363555,-13.30062948,24.93864149,0.579020532860296
141.21267965,2.69566563,-22.46643452,-16.4794692,-14.70947131,27.01959707,0.572259049639932
141.98155847,2.50628158,-21.80614297,-14.68026666,-16.15236328,29.15598701,0.563521358928035
142.76233739,2.33189784,-21.13959738,-12.86328575,-17.63547436,31.33433662,0.552872318667487
143.52290058,2.13555811,-20.47916234,-11.03301312,-19.13859778,33.52893854,0.540380832750108
144.31802316,2.08648535,-19.94896341,-9.26008235,-20.63245579,35.74439858,0.526142064879752
144.96475852,1.70975493,-19.33849844,-7.307076,-22.19738484,38.04799465,0.510270636688943
145.80027795,1.63053994,-18.68284763,-5.51735026999998,-23.7327345,40.24475431,0.492881349462373
146.5540032,1.44758471999999,-17.9926983,-3.67126135999999,-25.29231613,42.37783788,0.474089975422927
147.32226034,1.31954225,-17.38681109,-1.83767673999998,-26.80583197,44.58661347,0.454028605267213
148.06475495,1.14216647,-16.74901048,0.0200667400000043,-28.32202767,46.73642225,0.432851229184612
148.78970426,0.965888980000003,-16.14222702,1.86736095000001,-29.81528638,48.8511901,0.410726723096324
149.52455399,0.816621680000001,-15.54653231,3.69034161000002,-31.27790139,50.96539092,0.387826877562597
150.25173979,0.666182899999999,-14.94528678,5.50686607,-32.70024686,53.01138654,0.36431725857321
150.95787694,0.5157682,-14.3645921,7.31240171000002,-34.07733652,54.9746562,0.34036214114828
151.65640722,0.361346379999997,-13.78281996,9.10338640000001,-35.41129629,56.8921075,0.316135195700162
152.34605425,0.219177780000003,-13.2118006,10.87340614,-36.68588881,58.76094268,0.291819083177973
153.01797968,0.0766343999999997,-12.65684549,12.62638845,-37.89953245,60.53757334,0.267599585434888
153.67847088,-0.069569480000002,-12.10054199,14.3600592,-39.05385179,62.26062507,0.24366155511307
154.32550817,-0.21445134,-11.5507401,16.07347492,-40.1370811,63.91442436,0.220180514475808
154.96805733,-0.349704509999999,-10.9944771,17.7672506,-41.14491928,65.5412483,0.197312780952323
155.58697073,-0.487571499999998,-10.47121654,19.43938266,-42.07607623,67.02379822,0.175193798796646
156.19250894,-0.625702990000001,-9.95299638,21.08988223,-42.93068575,68.44329009,0.153938952816351
156.79007742,-0.753267400000002,-9.44700442,22.72202894,-43.69917154,69.79229815,0.133636762431226
157.38352128,-0.882667619999999,-8.92353342,24.3361477,-44.39494675,71.11024977,0.114340722474282
157.96457979,-0.997309830000003,-8.43346468,25.92453268,-45.00086315,72.31285451,0.0960703181533949
158.48585291,-1.0704453,-8.17070259,27.43613077,-45.50317823,73.0617635,0.0788192521867379
159.09640259,-1.20232868,-7.50084209,29.03688559,-45.96441117,74.45750395,0.0625604205081656
159.66765385,-1.30470502,-7.00604918,30.57926404,-46.32315466,75.46442253,0.0472432669957193
160.22473703,-1.38209588,-6.55026403,32.08943491,-46.58638913,76.35960373,0.0327957442045583
160.7699891,-1.44808689,-6.10549274,33.57007079,-46.76695409,77.17966513,0.0191403254406888
161.27455061,-1.42883059,-5.9427381,34.95435255,-46.82678786,77.41313516,0.0062095832104336
161.82583607,-1.47554239,-5.45692811,36.41815346,-46.84597456,78.14808957,-0.0060513669942372
162.36080133,-1.46069208,-5.10685363,37.81104514,-46.77343865,78.57150687,-0.0176858193367649
162.88224875,-1.48905727,-4.57970781,39.23683324,-46.61385556,79.38516921,-0.028724613129746
163.34460696,-1.44999408,-4.36511431,40.54137143,-46.32374916,79.52704218,-0.0391916551160315
163.82582538,-1.37988771,-3.91225926,41.87172251,-45.96041257,80.22102279,-0.0491120618088775
164.22067924,-1.36883495,-3.74637472,43.09141917,-45.52949604,80.04536509,-0.0585129793470174
164.66458764,-1.31552161,-3.27610412,44.35746273,-45.04035932,80.59487163,-0.0674174702018578
164.99744639,-1.24183201,-3.16839218,45.49040183,-44.41090213,80.28806691,-0.0758328327715389
165.39759142,-1.12643022,-2.79230756,46.65880728,-43.74678536,80.64193854,-0.0837427483836731
165.73289955,-1.11598213,-2.4403374,47.79736768,-43.02512213,80.69497792,-0.0911170500659521
166.06949086,-0.69512967,-2.55642619,48.74748848,-42.09651142,80.56976328,-0.0979263925074233
166.10925732,-0.832131950000001,-2.36776654,49.64843952,-41.23092843,79.75277768,-0.104143590166832
166.43582399,-0.459709780000001,-2.40157833,50.55763927,-40.20954591,79.56309902,-0.109741171984488
166.52617967,-0.579995650000001,-2.06783315,51.45830319,-39.23114503,79.09532584,-0.114695952323559
166.66670969,-0.45987272,-1.92583357,52.26662625,-38.15466943,78.64265484,-0.118995627407785
166.94138824,-0.060715179999999,-2.04992513,52.99969438,-36.99915457,78.1755523,-0.12264411280392
166.84773807,-0.122053510000001,-1.85406218,53.6336351,-35.7793224,77.38108175,-0.125665206502279
167.09550704,0.229405139999999,-1.92613699,54.31360147,-34.55848116,76.8167711,-0.128104273814782
166.93534515,0.231518639999999,-1.8114638,54.79461815,-33.25057749,75.92365216,-0.130030101403999
166.93343549,0.39150345,-1.81523716,55.28653865,-31.95255755,75.09406423,-0.131532921648326
167.1363973,0.71220999,-1.88551792,55.82144462,-30.66494976,74.35100168,-0.132714729524082
166.90112407,0.79307887,-1.89258604,56.06512754,-29.24362563,73.2662721,-0.133681508190166
166.90845739,0.954863720000001,-1.83427783,56.44093529,-27.89074907,72.42798739,-0.134543197754537
167.05789339,1.24469626,-1.91781112,56.8137241,-26.58997211,71.5343345,-0.13541024236298
166.8088757,1.41959216,-1.99152481,56.86919881,-25.10607576,70.38566847,-0.136380022411018
166.93162218,1.66644808,-2.05127965,57.1559487,-23.84102993,69.45707083,-0.13752321790143
166.61227023,1.73439761,-2.11639137,57.09779223,-22.43526195,68.29229858,-0.138880806565765
166.51820305,1.92115271,-2.21356743,57.14848424,-21.10368496,67.2475453,-0.140468874589756
166.4808928,2.16152661,-2.33641458,57.17507498,-19.81082694,66.20645537,-0.142281629218526
166.56378477,2.353496,-2.36102102,57.29226298,-18.67469497,65.28272858,-0.144293394082751
166.36380849,2.50490139,-2.38473043,57.09053723,-17.41265095,64.32944895,-0.146466513975357
166.29449341,2.71183288,-2.54018401,56.98259537,-16.25670963,63.3107144,-0.148762113702572
166.2502571,2.88418398,-2.57432253,56.85199318,-15.19204435,62.45472914,-0.151149711459537
166.21110413,3.04503165,-2.62711358,56.69041194,-14.19772198,61.59229004,-0.15361768470462
166.24083629,3.18896309,-2.66134856,56.59391134,-13.33660903,60.76737638,-0.156178860568673
166.25996421,3.45386252,-2.76891282,56.34678369,-12.42759444,59.97263998,-0.158865783664983
166.29024057,3.54120329,-2.75508191,56.24106627,-11.74836398,59.27530323,-0.161724583015794
166.31490622,3.63731006,-2.76639884,56.08703144,-11.11937826,58.58472558,-0.16481185438611
166.44415198,3.86547954,-2.78057071,55.69128065,-10.48485349,57.85078941,-0.168186977125698
166.45296256,3.93959921,-2.80565306,55.51661203,-10.00791686,57.25308042,-0.171900166133576
166.46541671,4.00239241,-2.83311969,55.30434777,-9.59935552,56.66130109,-0.175980761533596
166.7359877,4.17190996,-2.89827273,54.96406715,-9.29325106000001,55.72605079,-0.180426896912381
166.73880047,4.21447701,-2.91743703,54.74501951,-9.02375058,55.25682563,-0.185207348127777
166.75609846,4.23599967,-2.94793848,54.4879344,-8.82051436,54.71922525,-0.190279089658308
167.20070283,4.40186182,-3.05506499,54.18804103,-8.78070681000001,53.55045153,-0.195602779292276
167.20339381,4.40906858,-3.08164992,53.94917458,-8.66433059,53.12618642,-0.201149356727573
167.46001071,4.36459929,-3.34708983,53.67958478,-8.70859112000001,51.70521463,-0.206904041806464
167.76353791,4.42627146,-3.49738044,53.42921143,-8.75295248,50.72755244,-0.212863171487279
167.77152112,4.40357115,-3.51855737,53.15870634,-8.72353999,50.31356202,-0.21902366327425
168.27435963,4.40197625,-3.8835492,52.92929347,-8.9169371,48.70917868,-0.225371366516449
168.46725064,4.38868898,-4.23990568,52.65868453,-8.94301438000001,47.51672248,-0.231864224621987
168.74370272,4.32579741,-4.61466766,52.40728448,-9.04993541,46.23849835,-0.238417617132555
169.01880736,4.28000212,-5.0575284,52.14331222,-9.12316261,44.92412502,-0.244908416484225
169.24822261,4.2080956,-5.58588742,51.85353963,-9.18336101000001,43.52600571,-0.251190818033071
169.48364831,4.11585357,-6.19241506,51.55985207,-9.24781749,42.04946179,-0.257108225783615
169.70012123,4.014094,-6.89079072,51.23618543,-9.29109657000001,40.4707122,-0.262498198304667
169.88890392,3.89477725,-7.6636464,50.8801845,-9.31922987999999,38.81262092,-0.26719488150228
170.08343263,3.76119153,-8.53259086,50.51473979,-9.34115603999999,37.04456174,-0.271037591541402
170.31136246,3.61913646,-9.4754826,50.15446509,-9.3765527,35.21197411,-0.273884154534405
170.55962956,3.44535531,-10.36190592,49.77198032,-9.43780682,33.44264152,-0.275611939215402
170.71144675,3.31069638,-11.47491363,49.30398448,-9.41809609000001,31.39232478,-0.27610712032294
170.8278355,3.15833924,-12.66928912,48.79812912,-9.38460508,29.24436682,-0.27526144807251
170.92101122,3.00799925,-13.93862991,48.24893302,-9.33249235000001,27.00158781,-0.272976759702217
170.98771695,2.8627532,-15.26427648,47.65295479,-9.26538225,24.68722856,-0.269165600870287
171.03302877,2.73890399,-16.63419872,47.01342133,-9.17247379,22.32309175,-0.263750581317811
171.03398491,2.62832404,-18.05012115,46.3215022,-9.05032600000001,19.88780764,-0.256673761005292
170.99433766,2.54505833,-19.4809336,45.57547822,-8.89368896,17.4336743,-0.247921334777244
170.92246037,2.50342374,-20.91176255,44.78301318,-8.6942575,14.98749827,-0.237558537263404
170.79103502,2.50284181,-22.33926372,43.92517653,-8.44420899000001,12.53138954,-0.225761498420129
170.61407213,2.55341657,-23.72719253,43.01578393,-8.14276968,10.13671791,-0.212833499896605
170.38241365,2.66902075,-25.07706853,42.04985455,-7.7735559,7.79332279,-0.199208061040995
170.07893883,2.91637545,-26.30457709,41.01894831,-7.31063324,5.66400656,-0.185443788883624
169.7355412,3.1756508,-27.54635866,39.94201107,-6.80271889,3.4725389,-0.172176912097828
169.34498764,3.50089861,-28.74668602,38.8203041,-6.22231764,1.34614928,-0.159996710519423
168.89984805,3.92718353,-29.92676079,37.63883441,-5.55069926,-0.728109279999998,-0.149310012455717
168.38981976,4.462901,-31.12054544,36.38970337,-4.78295307,-2.78476368,-0.140294914782162
167.79357033,5.09643348,-32.30533256,35.06984984,-3.91178396,-4.80443492,-0.132936265151232
167.13905224,5.82216148,-33.48362369,33.6960459,-2.95212495,-6.78176989,-0.127079808211231
166.21894545,6.50188021,-34.40371263,32.20526189,-1.82107456,-8.5604773,-0.122480920265813
165.3275047,7.27870205,-35.54062782,30.70480566,-0.675985439999996,-10.44340015,-0.118847037974293
164.47162135,8.1898388,-36.71397185,29.17765365,0.515145149999999,-12.36482871,-0.115871651738205
163.5595068,9.17687704,-37.91815129,27.60386493,1.79238735,-14.31071455,-0.113258827269959
162.59329056,10.20403201,-39.15673525,25.99316696,3.13052019,-16.28312986,-0.1107395616759
161.56863837,11.2780324,-40.45035916,24.33556972,4.53121372999999,-18.30264886,-0.108081838220857
160.50659591,12.3931563,-41.79133599,22.64747977,5.97462869,-20.35934772,-0.105095521128193
159.40348847,13.55205682,-43.1977618,20.92530848,7.47095087,-22.47482353,-0.101632955826366
158.28794371,14.76115395,-44.66162003,19.18081361,9.00209426,-24.6430102,-0.0975861546420307
157.11840656,15.98541945,-46.17192789,17.40128916,10.57258158,-26.85483702,-0.0928813387895299
156.09060813,17.39647331,-47.95820686,15.65429491,12.10156958,-29.20269021,-0.0874718635901844
154.91386061,18.71753757,-49.51539135,13.85492813,13.71678193,-31.44745132,-0.0813316269415593
153.55699169,19.84979769,-51.00414972,11.98158261,15.39885109,-33.75147582,-0.0744514117282799
152.48531795,21.33317983,-52.89150395,10.19985509,16.95545365,-36.15068904,-0.0668385687033433
151.28473067,22.68043497,-54.52550742,8.37210434999997,18.58459799,-38.47326419,-0.0585182209694494
150.08257719,24.02217437,-56.25466339,6.53961050999999,20.18657953,-40.85404328,-0.0495343203993556
148.8784534,25.35491197,-57.99747868,4.69760000000002,21.77170228,-43.25163611,-0.0399500242227646
147.66873011,26.66407972,-59.75287554,2.85536422000001,23.33469651,-45.65938914,-0.0298473047279277
146.46450456,27.95889124,-61.53653666,1.01619522999999,24.85797575,-48.07078809,-0.0193256364927268
145.29374467,29.25229119,-63.29701499,-0.803419910000002,26.334955,-50.44326482,-0.008499345800223
144.13207647,30.51450852,-65.03527617,-2.61733254999999,27.7702357,-52.79981172,0.0025066796382307
142.96334112,31.73790237,-66.77477116,-4.42184614000001,29.15103103,-55.12337437,0.0135623958467
141.80846792,32.91958223,-68.48510181,-6.21493296,30.48069888,-57.42290337,0.0245380407546005
140.66000876,34.06103274,-70.16043236,-7.99554880000002,31.7569832,-59.67703424,0.0353088791282441
139.51398042,35.14908274,-71.80249211,-9.76083935,32.96241775,-61.87119999,0.0457590572239538
138.37395429,36.18123874,-73.4016932,-11.5136332,34.1046738,-64.01754662,0.0557845496858803
137.24135716,37.1567442,-74.95455116,-13.25364505,35.17793828,-66.10809169,0.0652952100105074
136.11195979,38.07347681,-76.45414921,-14.97677345,36.18358376,-68.12666919,0.0742159542888627
134.98475111,38.91504372,-77.89265927,-16.6874053,37.1052242,-70.07150651,0.0824871203319126
133.84071867,39.68914696,-79.2753381,-18.38342259,37.95138343,-71.90911551,0.0900640985217003
132.74876732,40.40777406,-80.62439159,-20.05827635,38.73696533,-73.78064737,0.0969163982317766
131.65423785,41.04892519,-81.87142262,-21.7198655,39.43424526,-75.51925496,0.103026301490983
130.56257742,41.61801984,-83.05625416,-23.36447478,40.04818964,-77.17320314,0.108387199022263
129.47329744,42.10751659,-84.16868584,-24.99415135,40.58281228,-78.74834207,0.113001681606829
128.38165692,42.51213208,-85.2036321,-26.60894719,41.0313662,-80.22939278,0.116879461019214
127.29872009,42.83742032,-86.17227383,-28.2029581,41.3902841,-81.63002931,0.120035195784914
126.21973842,43.08088055,-87.06783433,-29.78194114,41.66621341,-82.95429078,0.122486296882094
125.06739797,43.17857076,-87.77582432,-31.3139425,41.82008886,-83.92312929,0.124250787286489
124.0469282,43.29944101,-88.61045872,-32.85955191,41.93566639,-85.2534435,0.125345286856226
123.00568756,43.30493725,-89.28553045,-34.38258596,41.94892481,-86.35003202,0.12578319022401
121.87362994,43.13611572,-89.71730963,-35.84783072,41.8344315,-87.01198888,0.125573099736424
120.88751464,43.03081132,-90.33201877,-37.32015668,41.68632675,-88.07779371,0.124717567934598
119.8664583,42.77888875,-90.76109076,-38.77469856,41.44634458,-88.91096208,0.123212194849408
118.77252373,42.35127978,-90.94291859,-40.13569965,41.0479074,-89.2556811,0.121045114375131
117.77521775,41.94592412,-91.21410672,-41.5236717,40.63214156,-89.90528375,0.118196890962041
116.8811425,41.56384706,-91.51860287,-42.8488554,40.12192868,-90.52694411,0.114640833577723
115.83880194,40.86878547,-91.44413848,-44.12564382,39.49650209,-90.65824642,0.110343719665589
114.9701207,40.33281796,-91.58396517,-45.39957989,38.8674992,-91.16330509,0.105266908602275
113.99857047,39.51175408,-91.36991208,-46.58879634,38.08158942,-91.1294128,0.0993678123380537
113.18671437,38.83855763,-91.33337709,-47.77140468,37.3126704,-91.43378535,0.0926016807515186
112.34710507,37.99428322,-91.11141182,-48.93007488,36.46060493,-91.54265485,0.0849236510484811
111.49637237,37.002332,-90.64421725,-49.90067107,35.42573027,-91.07532595,0.0762910043959412
110.78044332,36.15403524,-90.36521278,-50.94626646,34.48354279,-91.11994663,0.0666655686722271
110.02990996,35.08117692,-89.78289062,-51.85350137,33.36786433,-90.61450264,0.0560162034221214
109.35358694,34.0469025,-89.22134177,-52.74591759,32.26794401,-90.26438818,0.0443213017356256
108.73079146,32.96555928,-88.57160854,-53.56052922,31.10982133,-89.76799451,0.0315712438799146
108.14402599,31.8672761,-87.90932106,-54.36561961,29.92929232,-89.28485912,0.0177707390302587
107.70632675,30.8789371,-87.29327303,-55.05201968,28.6696145,-88.68886902,0.0029409938510694
107.11055701,29.5090889,-86.29702782,-55.71465634,27.41812254,-87.85453057,-0.0128783512382091
106.73844611,28.49155674,-85.5928202,-56.31169688,26.11958833,-87.1482624,-0.029627577291173
106.21285729,27.05494855,-84.44740999,-56.82021254,24.8335535,-86.15933904,-0.0472255962561805
