thigh,shank,foot,thigh_,shank_,foot_,knee_moment
163.67166782,11.83508605,-12.86388068,10.83684621,-45.15880403,42.97585954,-0.0486000487967914
163.85629665,12.01678274,-12.68977864,11.50628918,-45.22439305,44.93047911,-0.0279145970588235
164.03469248,12.16108242,-12.49377007,12.17728955,-45.24826116,46.76107043,-0.0080878652406417
164.26049196,12.32702903,-12.29507136,12.85679064,-45.24138147,48.42694939,0.0092576667112299
164.44071611,12.44831597,-12.07959043,13.51509665,-45.16343531,49.95296853,0.0228261893048128
164.64832717,12.56872381,-11.86202126,14.17707956,-45.050834,51.30075444,0.0327127064171123
164.87201429,12.68167396,-11.6291764,14.83855566,-44.88927676,52.48811358,0.0390123572192513
165.09722139,12.77663255,-11.3903925,15.49456095,-44.67813173,53.51330699,0.0416554584224599
165.33499711,12.85712145,-11.14116773,16.15038083,-44.42192814,54.38422988,0.0410346263368984
165.5638233,12.92166325,-10.8918683,16.79314967,-44.10561445,55.11485383,0.0373206140374332
165.78237001,12.96807829,-10.64062009,17.42359646,-43.72939985,55.71840003,0.030101692513369
166.00921794,13.00163795,-10.38326652,18.05049991,-43.30480645,56.20081887,0.0204151259358289
166.23652203,13.02371576,-10.12271835,18.66828491,-42.8261377,56.57665055,0.0098652705882352
166.46365769,13.03515285,-9.86018169,19.27591318,-42.29357518,56.84932622,-0.0010514094919786
166.67733365,13.0306103,-9.59998196,19.86819467,-41.70158853,57.04341888,-0.0121977211229947
166.89262934,13.02045343,-9.33835538,20.44832739,-41.05785284,57.15044245,-0.0230343848930481
167.10951201,13.00834858,-9.07094011,21.01390019,-40.36187054,57.18469872,-0.0329001260695187
167.31573446,12.9867183,-8.81040783,21.56037322,-39.61050899,57.14882635,-0.0421917343582888
167.51803863,12.96250855,-8.55035171,22.08800429,-38.80754846,57.04796136,-0.0520536084224599
167.71477009,12.93695784,-8.29347809,22.59470703,-37.95300817,56.88538481,-0.0622644707219251
167.90760375,12.91333915,-8.0389392,23.07804692,-37.04866301,56.6635004,-0.0720854776737968
168.09383359,12.89095772,-7.78749936,23.53718489,-36.0952975,56.3859875,-0.0812229902406417
168.27416428,12.87278689,-7.54020564,23.97035672,-35.09435086,56.05428219,-0.0896065795454545
168.44969085,12.86115239,-7.29794116,24.37584203,-34.0472772,55.66712768,-0.0969751461229947
168.61831113,12.85696862,-7.06231989,24.75170483,-32.95435548,55.22831343,-0.103640251604278
168.77346623,12.85823958,-6.83361773,25.0970037,-31.81516056,54.75185361,-0.109635740374332
