thigh,shank,foot,thigh_,shank_,foot_,knee_moment
185.13306656,17.67366524,-15.56570689,7.90711485,-46.43835473,28.86581233,-0.0315118880845958
185.23587245,18.20260539,-14.90048173,8.87291746,-46.80497891,32.28697321,-0.0174180593465898
185.31011804,18.74605703,-14.34237753,9.79457700999998,-47.0841518,35.44416034,-0.0014930988640382
185.35798537,19.29823388,-13.8357052,10.6934724,-47.2739873,38.40743261,0.016228291079246
185.38597041,19.86348505,-13.41287519,11.54486876,-47.37532238,41.08685253,0.0357108245886601
184.94442452,19.99416643,-13.20716278,12.40749887,-47.49065999,43.30955543,0.0569301105550451
185.12821065,20.7700447,-12.87805292,13.14045809,-47.32237413,45.52124241,0.079839513043827
185.21252536,21.44095229,-12.52801731,13.87761178,-47.11289843,47.55113077,0.104338730442461
185.22656474,22.05290117,-12.27704063,14.60106369,-46.81902691,49.28059625,0.130279822149196
185.21385383,22.66920357,-12.14220377,15.25555351,-46.40987427,50.67376502,0.157486043746065
184.77415576,22.81385859,-12.08078573,15.97084547,-45.98048604,51.89406329,0.185748260757301
184.89124649,23.61298697,-12.10700121,16.48802279,-45.31895024,52.73269346,0.214808272769814
184.94355908,24.25938291,-11.9357891,17.07424116,-44.6266888,53.68678519,0.244358409493367
184.82573147,24.64273451,-11.76081964,17.69251889,-43.90403611,54.53801819,0.274063504436545
184.76624651,25.20419189,-11.82733411,18.19656875,-43.00467972,54.97948845,0.303582145681711
184.73331029,25.73694543,-11.86524116,18.67990684,-42.04821017,55.30994494,0.332571590340912
184.9344399,26.07923704,-11.99739841,19.18434979,-41.2263163,54.99288679,0.360688466224277
184.58137898,26.58644297,-12.04921229,19.62590204,-39.89759451,55.58962908,0.387595750794062
184.52632995,27.06036703,-12.06796992,20.0053854,-38.70209157,55.64351535,0.412969707318809
184.55359881,27.57245231,-12.14275852,20.37435932,-37.45136384,55.50688371,0.436499968637787
184.56927193,27.98184761,-12.20789027,20.76382358,-36.16741963,55.35669926,0.457889930484572
184.69095577,28.35447414,-12.39718388,21.10466321,-34.90554773,54.53609963,0.476873765735428
184.75486359,28.8359071,-12.18519984,21.47363488,-33.45876229,54.82984006,0.493248487907608
184.86031465,29.19123989,-12.39331893,21.77669674,-32.09244721,53.84703549,0.506894404453237
184.90855753,29.55956199,-12.36988582,22.0400397,-30.51567996,53.79660655,0.517768312926199
184.9758129,29.95765856,-12.39828815,22.27844589,-28.96235856,53.27915455,0.52588403295584
185.11303223,30.16533734,-12.31530806,22.56238748,-27.46273546,52.6849725,0.531300972716444
185.22403708,30.52721134,-12.3689895,22.74600751,-25.84073444,51.99089173,0.534128577064367
185.37693013,30.72529722,-12.27510312,22.98247991,-24.27006367,51.29643725,0.534537789790436
185.53296606,30.98799332,-12.22218804,23.15942293,-22.63043038,50.59414425,0.532760024592398
185.57647577,31.19550782,-12.27236796,23.27314474,-21.00997491,49.30765117,0.529068045113638
185.88536853,31.48782215,-12.22010645,23.43288287,-19.28110301,48.91391316,0.523754263744534
186.02454617,31.49950305,-11.92145466,23.61466614,-17.68235181,48.13050106,0.517118830758302
186.22511459,31.73829731,-11.92851855,23.6821959,-15.94060563,47.41236035,0.509463586355057
186.42042553,31.8562341,-11.75374521,23.76049944,-14.2501198,46.60583017,0.501084068251329
186.60445287,32.06959914,-11.72703775,23.76057818,-12.49210367,45.77842874,0.492258493868079
186.78981586,32.17680254,-11.55433725,23.78716817,-10.78990553,45.01686423,0.483238602738444
186.99908239,32.36401856,-11.47078586,23.75074813,-9.04724745,44.27581129,0.474246867515905
187.21744316,32.52259431,-11.32472372,23.70474032,-7.32147775,43.57161015,0.465476087434523
187.45020431,32.7185478,-11.20376965,23.61939666,-5.58860683,42.88825979,0.457085057686461
187.6817527,32.89948188,-11.0483209,23.51608732,-3.87898002000001,42.24888938,0.449193260923064
187.92971193,33.1074202,-10.89720815,23.38630425,-2.17519384,41.64083618,0.441884499653501
188.19616336,33.33175127,-10.73008598,23.23567297,-0.490879820000004,41.07404638,0.435223490796439
188.47029362,33.57371815,-10.55589657,23.06506386,1.17316026000001,40.53122857,0.429272423129791
188.76232448,33.8386196,-10.36848749,22.87443256,2.81421271,40.00176495,0.424093635969072
189.06314087,34.12329557,-10.17174107,22.6662282,4.42558662,39.48780965,0.419743735167591
189.35995319,34.42285756,-9.97348768,22.44397443,6.00876524,38.97427363,0.416270071280622
189.66719211,34.74081388,-9.762472,22.20719588,7.55623942,38.47948741,0.41371252731731
190.00586416,35.09575979,-9.53598701,21.96222202,9.0682577,38.01032284,0.41210839021817
190.56292269,35.60532911,-9.20896613,21.69582186,10.52008093,37.48686763,0.411495901740414
190.72620587,35.91489943,-9.07478453,21.43994542,11.96635123,36.91122802,0.411913214270579
190.94791974,36.24603133,-8.88615928,21.16465804,13.38231675,36.45472815,0.413393140702693
191.18192019,36.61843353,-8.70686428,20.87287169,14.75842626,35.9569591,0.415956218358059
191.65260613,37.10843965,-8.34132,20.59158932,16.04301116,35.56041492,0.419603896157058
191.74924024,37.48808665,-8.30309891,20.28694686,17.35302784,34.90459407,0.424315718838778
191.88622766,37.84536567,-8.15616607,19.97900702,18.62235899,34.43597317,0.430053582601006
192.06032293,38.24381971,-7.99031643,19.66739111,19.84550823,34.00484985,0.43676753642315
192.35959314,38.68967532,-7.69256943,19.37419093,20.97897362,33.69026669,0.444397759626279
192.31544721,39.02815783,-7.75060151,19.04699423,22.10553738,32.84306009,0.452875434604966
192.41623178,39.43024132,-7.60160295,18.74620086,23.23074781,32.68940539,0.462126499509112
192.50187691,39.8549996,-7.50158463,18.41087068,24.30130452,32.31408777,0.472077431262164
192.55558537,40.25409995,-7.39910332,18.09265556,25.32049318,31.94410559,0.482656887609374
192.52629516,40.5378106,-7.34952541,17.82444611,26.22320696,31.35517155,0.493792499920585
192.49219011,40.89346029,-7.3005881,17.51071944,27.16702504,30.96061446,0.505410965719163
192.46886892,41.24357387,-7.20321622,17.20954058,28.06418588,30.71030528,0.517442554007888
192.51736839,41.69548575,-6.98498504,16.89016903,28.96851662,31.01159787,0.529825768291032
192.47266748,41.99603635,-6.9865098,16.64476532,29.71001894,30.47354345,0.542510992741943
192.4127401,42.3661619,-6.93027578,16.34949399,30.49242899,30.23068682,0.55545914005416
192.35437683,42.71375811,-6.80754512,16.06705436,31.22833567,30.15196281,0.568637498032438
192.29509633,43.11551571,-6.53074049,15.76640816,31.99011256,30.66902469,0.58202356238481
192.22955763,43.43178939,-6.56694313,15.52262147,32.59884764,30.22620388,0.595614109227701
192.11649671,43.82494524,-6.27074199,15.22194266,33.28780589,30.69811472,0.609424879035627
192.04535412,44.16143371,-6.33130312,14.97637958,33.84176669,30.30308909,0.623479042111367
191.96338646,44.54524971,-6.25256462,14.71712679,34.40541451,30.26119611,0.637797790219667
191.79362796,44.88634775,-5.91313553,14.42900583,34.97744119,30.85231292,0.652401318390397
191.71834618,45.28282444,-6.01607017,14.16904709,35.46924878,30.51022332,0.667312614358546
191.63563719,45.69823682,-5.93784917,13.91348171,35.94802478,30.50826076,0.682553336104608
191.47075206,46.07486434,-5.5669366,13.65456941,36.41001308,31.04666137,0.698131219064954
191.36276129,46.51345126,-5.74124989,13.34450289,36.8618966,30.65242806,0.714025977344623
191.27015102,46.96541876,-5.76961828,13.06532298,37.26695635,30.49095587,0.730182628257854
191.15817267,47.4422584,-5.77051366,12.76548096,37.669327,30.32847875,0.746513392642653
190.77987231,47.87637979,-5.71242913,12.35956419,38.13894414,30.17993837,0.762893224460904
190.71263888,48.39464707,-5.90511537,12.06015212,38.49817338,29.77548461,0.779137670160795
190.57979682,48.93383059,-5.84245102,11.74026817,38.82487646,29.28959286,0.794976924439189
190.40933595,49.51858732,-6.12749674000001,11.35183898,39.20854802,28.46557772,0.810047152104594
190.20503878,50.10861298,-6.40678096,10.94759895,39.55817498,27.48139879,0.823902368057419
189.96882815,50.7420854,-6.83902884,10.5167433,39.93048661,26.29613168,0.836039177119517
189.72491853,51.40567321,-7.37655962,10.04703503,40.31829584,24.86258971,0.845929338872186
189.45029807,52.1137183,-8.04297683,9.55503543,40.71226319,23.20758286,0.853054782000288
189.12835307,52.85085514,-8.83677141,9.04146802,41.11407429,21.35968614,0.856937685546232
188.77858587,53.62997224,-9.80655664,8.48303349,41.55437731,19.25755839,0.857157989216519
188.39054118,54.45179767,-10.9365999,7.89773376000002,42.01078086,16.95687175,0.853351222476982
187.95737979,55.30949435,-12.24104193,7.28176235000001,42.49194225,14.46940936,0.84520123134171
187.47523093,56.20117858,-13.72569046,6.63782760000001,42.99868544,11.80957296,0.83246157373737
186.93202317,57.11262157,-15.38285598,5.96774067000001,43.53091171,9.00647179,0.815000183285192
186.34939805,58.0788432,-17.28483324,5.24651265999998,44.103283,5.97688423,0.792826411495191
185.69235371,59.03510053,-19.32372195,4.51248088,44.68433777,2.86294746,0.76609692390473
185.04595797,60.07737392,-21.62435081,3.73659921999999,45.30175165,-0.447943550000002,0.735126117308149
184.32845233,61.1023585,-24.07357162,2.93724994999999,45.90984082,-3.89030693999999,0.700399999091325
183.56440524,62.13863646,-26.6876786,2.12209558000001,46.53492011,-7.41168837,0.662573298946778
182.79125319,63.21466222,-29.48347743,1.28378624999999,47.16014808,-11.04751058,0.622440725125642
181.11709575,63.67590295,-32.31700497,0.392799440000005,47.88513173,-14.38872677,0.580887017929583
180.60323763,64.9210099,-35.39514876,-0.459410630000008,48.41710775,-18.25116935,0.538826494592956
