thigh,shank,foot,thigh_,shank_,foot_,knee_moment
176.0676131,75.59199291,-62.19776882,-8.69661706000002,54.14064715,-45.17516599,0.371199344179073
174.33554073,75.93814009,-65.25822615,-9.76311338000002,54.68367682,-49.00081713,0.315772174615482
173.54951266,76.80320155,-68.17059858,-10.80707709,54.99851493,-53.10074023,0.264972690681928
172.02036854,77.2209465,-71.02935092,-11.8649559,55.42546914,-56.69707749,0.218557800472552
170.84698721,77.77831246,-73.69031542,-12.8798187,55.71196352,-60.16346837,0.176246236460815
169.71975262,78.33071523,-76.16552433,-13.8945232,55.95488575,-63.38729964,0.137821876715958
168.89349589,79.01557703,-78.41519982,-14.85415377,56.10775955,-66.54332286,0.103213207715058
167.56158836,79.34853434,-80.54563181,-15.84407723,56.25324806,-69.0062133,0.0725502797200186
166.78735178,79.95368678,-82.41617987,-16.71519842,56.25947586,-71.55628118,0.0461299879773312
165.48666611,80.15962216,-84.18253284,-17.66166553,56.27012941,-73.48764385,0.0242452835278098
164.76355206,80.6687063,-85.68480426,-18.44738695,56.13271952,-75.43629911,0.0069913876311474
163.83335411,80.98278211,-87.06767507,-19.27571965,55.95316425,-77.07090227,-0.0057988386440577
162.94682753,81.23976052,-88.2695696,-20.04243689,55.6983779,-78.36663725,-0.0145006366050507
162.06397001,81.41190487,-89.31845907,-20.78783718,55.37252955,-79.42917437,-0.0196197731996949
161.2200465,81.52275902,-90.22269958,-21.49526287,54.97664773,-80.26323045,-0.021729246481228
160.44060669,81.59726601,-90.99362629,-22.16561928,54.51003134,-80.91300687,-0.021419560777244
159.68314882,81.59548395,-91.64194786,-22.81640355,53.98902802,-81.40277432,-0.0192614357385213
159.01548528,81.57473369,-92.1694953,-23.42259648,53.39179101,-81.73874667,-0.0157795434645162
158.37417634,81.48468651,-92.58993637,-24.01847446,52.75614031,-81.97867069,-0.0114357241300949
157.74823348,81.32092782,-92.92881896,-24.61118178,52.08438563,-82.13625031,-0.0066200882229297
157.39499643,81.23182347,-93.13485736,-25.07661834,51.37603363,-81.93212592,-0.0016484496578513
156.75240147,80.91905665,-93.26676349,-25.72363611,50.62983741,-82.24376998,0.0032353722257344
156.23397744,80.56555073,-93.37330954,-26.28608497,49.85410014,-82.22643456,0.0078537104334691
155.78930547,80.18386599,-93.38046895,-26.83243092,49.06664074,-82.20825431,0.0120868387066811
155.48650299,79.81263137,-93.27517852,-27.28616959,48.25423471,-81.90567076,0.0158633916890998
155.04240198,79.27086243,-93.14576168,-27.91717636,47.44811554,-82.09614076,0.0191502464821325
154.69795997,78.7128126,-92.98517061,-28.46431174,46.60536417,-82.05819678,0.0219425294634192
154.40008147,78.11846804,-92.74881588,-28.98727724,45.75358802,-81.99045719,0.0242542576972816
154.17760449,77.48412933,-92.32072859,-29.36408155,44.88486869,-81.52531123,0.0261099844155837
153.89139158,76.77087892,-92.0123129,-30.02645683,44.01970342,-81.75263324,0.0275376947914066
153.68559356,76.03366947,-91.47460919,-30.38024037,43.08714815,-81.20294829,0.0285630920232598
153.50065432,75.20515564,-91.1191817,-31.00998125,42.18449714,-81.40587967,0.029205324174305
153.27106027,74.28044567,-90.45091178,-31.44910486,41.29593381,-81.06981156,0.0294741287233505
153.20691581,73.40474097,-89.9560377,-31.89180489,40.27708194,-80.91329927,0.0293683138510294
153.00321564,72.37106665,-89.16954215,-32.28798913,39.32178164,-80.49455103,0.0288754520984235
152.96782274,71.38620285,-88.57471736,-32.65895347,38.25390488,-80.19151167,0.0279726314504597
152.81361958,70.26518974,-87.6873642,-32.99339839,37.23014775,-79.67848617,0.0266280890267661
152.71713778,69.09974056,-86.873461,-33.31780833,36.15725311,-79.22967789,0.0248035413268839
152.6732995,67.91844789,-86.04291896,-33.58230181,35.03401842,-78.71411394,0.0224570204425681
152.8001653,66.79140312,-85.32373967,-33.73280505,33.79108565,-78.1417722,0.0195460265395831
152.74178043,65.48571948,-84.29954255,-33.93358382,32.62883369,-77.4956644,0.0160308126902008
152.75311813,64.15692115,-83.39049337,-34.07444237,31.39436614,-76.8614629,0.011877628402638
152.92492992,62.88314582,-82.644628,-34.08580581,30.03884385,-76.20342102,0.0070617625151073
152.9291311,61.44450111,-81.53213636,-34.17878896,28.7776394,-75.47477839,0.0015702442695977
153.03643512,60.00855979,-80.70284586,-34.19877302,27.43349689,-74.87610851,-0.0045959168193308
153.20865591,58.56854308,-79.86804142,-34.1448778,26.030572,-74.24248835,-0.0114200466580088
153.47115101,57.14309239,-79.04783866,-33.95136778,24.5088096,-73.45207639,-0.0188687447326937
153.5671552,55.55967867,-77.98863258,-33.91481763,23.13667706,-72.7800029,-0.0268914828953896
153.82590703,54.04837537,-77.29577006,-33.73983988,21.63119898,-72.21044401,-0.0354208741780158
154.16201162,52.52820878,-76.46733408,-33.44306201,20.03194032,-71.44418596,-0.0443736062716743
154.42547112,50.93342287,-75.646152,-33.21264708,18.49586978,-70.80919958,-0.0536520404647477
154.74941218,49.35849403,-74.82972812,-32.94078544,16.93487849,-70.16816634,-0.0631464596684759
155.13197119,47.76443129,-73.95885031,-32.60682751,15.34166146,-69.51699943,-0.0727378922898802
155.44502352,46.14993171,-73.11272986,-32.32732888,13.7922181,-68.90022691,-0.0823014009994344
155.89849948,44.61174976,-72.39966639,-31.95443109,12.18964115,-68.3373894,-0.0917097209667035
