thigh,shank,foot,thigh_,shank_,foot_,knee_moment
156.84423968,-17.48210601,-6.41478062,-33.75630817000001,-20.26002819,-22.11607421,-0.47190902127303
156.87244441,-17.2271803,-6.6744777200000005,-33.93450564999998,-19.893676900000003,-22.7837423,-0.483503195592832
156.92306566,-17.057473560000002,-6.8535243,-34.09332294000001,-19.588070970000004,-23.381201710000003,-0.494412118451134
156.98617356,-16.98596192,-6.9492039,-34.23663814,-19.3432271,-23.91458865,-0.504399085688177
157.0680502,-16.99605164,-6.96721642,-34.36148961000001,-19.14445109,-24.37369597,-0.513177727933802
157.14026868,-17.11562412,-6.92762831,-34.45269029000002,-18.95912172,-24.77497749,-0.520417635228598
157.22935193,-17.316098320000002,-6.825899339999999,-34.52846950999998,-18.8176239,-25.117934339999998,-0.525752790396886
157.32285761,-17.60115775,-6.67515871,-34.58102887999999,-18.693896439999996,-25.41910858,-0.528792642065654
157.41946059,-17.96768287,-6.478254140000001,-34.609998579999996,-18.581258390000002,-25.67083455,-0.529135493208945
157.51832637,-18.40711601,-6.24669319,-34.612901309999984,-18.46338715,-25.890698020000002,-0.526383728812218
157.61516794,-18.92015923,-5.9837476,-34.59069145000001,-18.33617271,-26.07989115,-0.520160267726861
157.71088545,-19.49543052,-5.694042250000001,-34.5403718,-18.18172448,-26.242814270000004,-0.510125511731758
157.80361903,-20.12766186,-5.38048395,-34.46021400000001,-17.988926720000002,-26.38125546,-0.495993992525893
157.89407342,-20.807242199999997,-5.0420336599999995,-34.349724269999996,-17.747455919999997,-26.4943692,-0.477549896220241
157.97546127,-21.53698017,-4.68307993,-34.20456562999999,-17.444402079999996,-26.57974239,-0.454660680958723
158.05625228,-22.293164360000002,-4.3055623,-34.02022504999999,-17.05853326,-26.649853710000002,-0.427288094929973
158.13231488,-23.07520453,-3.8996276400000003,-33.79994579000001,-16.59373616,-26.681259930000003,-0.395496039991077
158.2028408,-23.88228619,-3.4581590999999996,-33.53890038,-16.03701282,-26.661873,-0.359454896001604
158.27345969,-24.692821090000002,-2.99117456,-33.23084785,-15.3688377,-26.616840630000002,-0.319442106367161
158.34392073,-25.493942829999998,-2.50723941,-32.869875140000005,-14.567887189999999,-26.54859521,-0.275839010568006
158.41036889,-26.293545599999998,-1.9958298,-32.45947794,-13.65050453,-26.441315659999997,-0.229124081604072
158.47629373,-27.089883710000002,-1.4290477400000006,-32.00511057,-12.631302760000002,-26.257360820000002,-0.179862876023925
158.54867804,-27.84569922,-0.83956783,-31.48306391,-11.44067497,-26.051326720000002,-0.128695126116898
158.62830328,-28.57137659,-0.20742446000000037,-30.906920939999992,-10.12316771,-25.795158629999996,-0.0763194959152763
158.70503351,-29.28214444,0.4837629200000002,-30.276705800000002,-8.68973849,-25.45136588,-0.023476585307245
158.80809379,-29.90870415,1.1510681899999993,-29.582124910000005,-7.089628689999998,-25.18365695,0.0290691983407806
158.91454788,-30.50425775,1.8763716199999996,-28.829606230000024,-5.371052090000003,-24.83970771,0.0805482716592803
159.02204056,-31.07139369,2.6546507099999994,-28.024665510000005,-3.5495094300000005,-24.43026862,0.130204393014953
159.16459364,-31.53316337,3.3935077200000006,-27.15486187000002,-1.569327389999998,-24.143974480000004,0.177312482315796
159.30688306,-31.973007289999998,4.19819543,-26.235081010000016,0.487813040000006,-23.765665490000004,0.221195208923788
159.47577891,-32.32433286,4.983545930000001,-25.25872376000001,2.6657301700000033,-23.470364379999996,0.261237878963345
159.67542409,-32.57976812,5.740517130000001,-24.228549310000005,4.958049260000003,-23.28579507,0.296901230730383
159.87808385,-32.807304970000004,6.53477741,-23.152962120000012,7.3003719099999955,-23.057425570000003,0.327731833403308
160.12798662,-32.90459905,7.26729413,-22.027900270000004,9.754469399999998,-23.00925988,0.353369876548774
160.38033088,-32.97211116,8.00843432,-20.859166939999994,12.244950650000007,-22.96262118,0.373554232627908
160.68157045,-32.91871741,8.686969439999999,-19.65633047999998,14.805052290000006,-23.108417940000002,0.388124768493611
160.99606845,-32.79214653,9.31942363,-18.39410301000001,17.43620569000001,-23.309104590000008,0.397021971510688
161.34364765,-32.58469481,9.908107309999998,-17.109084499999994,20.088535429999993,-23.648472939999998,0.400284038451774
161.72731458,-32.28166691,10.43748742,-15.79809523999998,22.76746878,-24.126843689999998,0.398041648094771
162.14012037999998,-31.88856842,10.90408285,-14.450045410000001,25.480539460000003,-24.715347549999997,0.390510699300434
162.57638757,-31.42054813,11.293861960000001,-13.073975160000003,28.20687068,-25.43642801,0.37798334366474
163.04036335,-30.87767294,11.61521294,-11.679196469999994,30.927100239999998,-26.2768108,0.360817674627613
163.51097355,-30.29623185,11.85543243,-10.262642380000017,33.63544851,-27.244845500000004,0.339426452839506
164.02413294,-29.60900583,12.02591185,-8.839576170000015,36.32771125000001,-28.318931090000007,0.314265250942801
164.55344142,-28.85660645,12.104993349999999,-7.395608809999999,39.00927596,-29.51051976,0.285820390603347
165.11511953,-28.0316714,12.12806627,-5.9648472600000275,41.628285029999994,-30.770872810000007,0.254597022016361
165.68162505,-27.17460051,12.07357927,-4.52741057999998,44.20239551,-32.12216995,0.221107662994876
166.26046671,-26.27666804,11.95504687,-3.0967012600000032,46.71177051999999,-33.53452770999999,0.185861473198634
166.85091577,-25.34099251,11.7741027,-1.6767629800000066,49.14658477999999,-34.9854859,0.149354491325697
167.45129498,-24.37359216,11.538215529999999,-0.2760226599999953,51.491955790000006,-36.451694090000004,0.112061011495088
168.0610196,-23.36457257,11.250428359999999,1.1128601900000206,53.76153315,-37.92479534,0.0744262219109897
168.66802903,-22.359171449999998,10.93104554,2.468814430000009,55.90960435,-39.377868410000005,0.0368601764373335
169.27908499,-21.334058910000003,10.576985070000001,3.798301710000004,57.95080185,-40.784106,-0.0002668800286269
169.88138816,-20.3175776,10.19922403,5.094001420000012,59.869714769999995,-42.13811749999999,-0.0366278567226342
170.48245611,-19.30733258,9.80724334,6.359147419999999,61.67026571,-43.42159747000001,-0.071940896314339
171.0783005,-18.29164901,9.411686399999999,7.587505490000012,63.344598610000006,-44.598452980000005,-0.105970284164427
171.6650561,-17.2957884,9.014772370000001,8.780468639999981,64.89107238,-45.67806932999999,-0.138526307948969
172.23224147,-16.3302178,8.60337646,9.931484179999984,66.30118551,-46.65614859,-0.169464204864907
172.79545381,-15.37522537,8.218755830000001,11.043881819999996,67.57833599,-47.491413699999995,-0.198682342924711
173.34654845,-14.44484341,7.85051709,12.118316419999985,68.7243457,-48.18855173,-0.226119785262986
173.89744275,-13.52404245,7.5143034,13.164506090000003,69.76027189000001,-48.74350683,-0.251753382792611
174.40934063,-12.659456819999999,7.16581251,14.158763660000005,70.6415262,-49.15701181,-0.275594531985131
174.92216434,-11.807719169999999,6.8619810999999995,15.12270344000001,71.40896967,-49.42675558,-0.29768572208511
175.43537086999999,-10.96368317,6.596345840000001,16.062605239999982,72.07755528,-49.551282549999996,-0.318096980768292
175.91101465,-10.17716511,6.33463136,16.956679159999993,72.60402604000001,-49.52299142,-0.336922310145472
176.39619438,-9.389114370000001,6.11546681,17.831686829999995,73.04134532,-49.37212429,-0.354276187067049
176.84295323,-8.66085243,5.9148567000000005,18.66363475,73.34208114,-49.05601538,-0.370290183791691
177.28928327,-7.94117994,5.74352456,19.475027519999998,73.55275221000001,-48.62684217,-0.385109748037628
177.73140484,-7.23353771,5.6019837599999995,20.26606043000001,73.67767175,-48.07984880000001,-0.398891165887207
178.15659788,-6.5574759,5.4881942399999994,21.02922848,73.69447497,-47.40086773,-0.411798717436679
178.57495277,-5.8962167700000006,5.39541134,21.773296920000007,73.62516343,-46.620064209999995,-0.424002023748581
178.98599507,-5.2506672299999995,5.3281782799999995,22.49756135999999,73.46974347999999,-45.733158829999994,-0.435673574657869
179.38683705,-4.6236032,5.28153409,23.201137079999995,73.22541245999999,-44.74539219,-0.446986420235687
179.77783464,-4.01273985,5.24720962,23.888084460000016,72.89928103,-43.67134178,-0.458112004058576
180.16704165,-3.4074083600000002,5.2339423,24.559220779999976,72.49725414,-42.509518459999995,-0.469218113662953
180.52990954,-2.8319344400000004,5.19376961,25.230673389999993,72.03584228,-41.31026659,-0.480466922500099
180.90262806,-2.25048488,5.215489,25.861798550000003,71.46451635,-39.9745786,-0.492013098215864
181.29561548,-1.65610868,5.2569276,26.474219690000012,70.81382459,-38.560937040000006,-0.504001954097581
181.6426813,-1.1011682500000002,5.241250770000001,27.102518430000003,70.13824849,-37.16523814,-0.516567624046867
182.02677048,-0.5204083799999997,5.30374857,27.671230250000008,69.30613376999999,-35.57827182999999,-0.52983124645909
182.39280769,0.04923878999999998,5.32702724,28.24628906000001,68.44204836,-33.99659178,-0.543899148902575
